"Tipo_Metadata","Objeto","Componente_API","Encontrado_Partial","Encontrado_Git","Incluido_S3_0","Motivo_Inclusion","Motivo_Exclusion","Referencia_Empresa_Marca","Estado_Activo","Aplica_PEKING","Exclusivo_Usados","Evidencia","Nivel_Confianza","Notas"
"Layout","Account","Account-RM Asistente Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-RM Asistente Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-RM Lider Taller - RO","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-RM Lider Taller - RO.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-RM Lider Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-RM Lider Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-RM Mecanico","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-RM Mecanico.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Account","Account-Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Account-Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Autos V1%2E2","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, Pricebook2Id, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Autos V1%2E2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Autos V1%2E3 - Inventario","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, Pricebook2Id, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Autos V1%2E3 - Inventario.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Autos V1%2E3","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Pricebook2Id, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Autos V1%2E3.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Autos V1%2E4 Sin Botones","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, Pricebook2Id, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Autos V1%2E4 Sin Botones.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Autos V1%2E4","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, Pricebook2Id, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Autos V1%2E4.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Autos","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Pricebook2Id, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Autos.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-BMW Opportunity Layout","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Pricebook2Id, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-BMW Opportunity Layout.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Cartera Madura","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Cartera Madura.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Motocicletas","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Motocicletas.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Oportunidad Usado","SI","NO","NO","","Exclusivo de usados","Marca__c","SIN_ESTADO_PROPIO","No","Sí","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Oportunidad Usado.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Opportunity Layout Usados V1%2E1","SI","NO","NO","","Exclusivo de usados","Marca__c, Pricebook2Id, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","No","Sí","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Opportunity Layout Usados V1%2E1.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Opportunity Layout","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Opportunity Layout.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Taller Autos","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","BMW_Compania__c, Pricebook2Id, RecordType","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Taller Autos.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Opportunity","Opportunity-Vehiculos Nuevos V1%2E1","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, Pricebook2Id, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Opportunity-Vehiculos Nuevos V1%2E1.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Articulos sin Editar","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Articulos sin Editar.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Artículos","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Artículos.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Formato Producto Altica","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Formato Producto Altica.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Product Layout V1%2E1","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Product Layout V1%2E1.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Product Layout V1%2E2","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Product Layout V1%2E2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Product Layout","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Marca__c, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Product Layout.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Vehiculos Softland System Admin V1%2E0","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Vehiculos Softland System Admin V1%2E0.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Vehiculos V1%2E2","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Vehiculos V1%2E2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Vehiculos V1%2E3","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Vehiculos V1%2E3.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Vehiculos V1%2E4","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Vehiculos V1%2E4.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Vehiculos V1%2E5","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Vehiculos V1%2E5.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-Vehiculos","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-Vehiculos.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Product2","Product2-VehiculosParaV2","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Empresa__c, Marca__c, RecordType, RecordTypeId","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Product2-VehiculosParaV2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Quote","Quote-Mostrador y Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","Centro_de_Costo__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Quote-Mostrador y Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Quote","Quote-Quote Layout Usados V1%2E1","SI","NO","NO","","Exclusivo de usados","Sin referencia directa identificada","SIN_ESTADO_PROPIO","No","Sí","Retrieve temporal Partial 2026-08-06: layouts/Quote-Quote Layout Usados V1%2E1.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Quote","Quote-Quote Layout V1%2E2","SI","NO","NO","","Sin referencia relevante verificable","Sin referencia directa identificada","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Quote-Quote Layout V1%2E2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Quote","Quote-Quote Layout","SI","NO","NO","","Sin referencia relevante verificable","Sin referencia directa identificada","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Quote-Quote Layout.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Quote","Quote-Vehiculos Nuevos V1%2E2","SI","NO","NO","","Sin referencia relevante verificable","Sin referencia directa identificada","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Quote-Vehiculos Nuevos V1%2E2.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","Quote","Quote-VN Admin V1%2E1","SI","NO","NO","","Sin referencia relevante verificable","Sin referencia directa identificada","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/Quote-VN Admin V1%2E1.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Mecanico","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","CentroDeCosto__c, Pricebook2Id, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Mecanico.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-RM Asesor Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, CentroDeCostos, Garantia_vehiculo__c, Pricebook2Id, RecordType, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-RM Asesor Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-RM Lider Taller - RO","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Garantia_vehiculo__c, Pricebook2Id, RecordType, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-RM Lider Taller - RO.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-RM Lider Taller","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Garantia_vehiculo__c, Pricebook2Id, RecordType, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-RM Lider Taller.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-RM Mecanico - RO","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","CentroDeCosto__c, Pricebook2Id, RecordType","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-RM Mecanico - RO.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-RM Mecanico","SI","NO","NO","","Variante operacional ajena a Empresa/Marca","CentroDeCosto__c, Pricebook2Id, RecordType","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-RM Mecanico.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Taller prototype Work Order Main","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Garantia_vehiculo__c, Pricebook2Id, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Taller prototype Work Order Main.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Work Order Admin","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Garantia_vehiculo__c, Garantías, Marca__c, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Work Order Admin.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Work Order Layout Copy","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Pricebook2Id, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Work Order Layout Copy.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Work Order Layout","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Garantia_vehiculo__c, Garantías, Marca__c, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Work Order Layout.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Work Order Main Sin Botones","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Pricebook2Id, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Work Order Main Sin Botones.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Work Order Main V1%2E1","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Pricebook2Id, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Work Order Main V1%2E1.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"Layout","WorkOrder","WorkOrder-Work Order Main","SI","NO","SI","Objeto dentro del bloque 7 y contenido con campos/dependencias relevantes","Sin referencia relevante verificable","CentroDeCosto__c, Garantia_vehiculo__c, Pricebook2Id, RecordType, garant_as__c, garantia__c","SIN_ESTADO_PROPIO","Por determinar","No","Retrieve temporal Partial 2026-08-06: layouts/WorkOrder-Work Order Main.layout-meta.xml","ALTO","La asignación por perfil/Record Type no forma parte del XML del Layout; pendiente evidencia de asignación."
"FlexiPage","Opportunity","Opportunity_Record_Page","SI","NO","SI","Variante nominal solicitada; no se descarta sin conocer asignación","Exclusivo de usados confirmado por nombre","Sin referencia directa identificada","ACTIVA_COMO_METADATA","Por determinar","No","Retrieve temporal Partial 2026-08-06: flexipages/Opportunity_Record_Page.flexipage-meta.xml","ALTO","Asignación efectiva pendiente de consulta de activaciones; existencia no equivale a asignación."
"FlexiPage","Opportunity","Opportunity_Record_Page1","SI","NO","SI","Variante nominal solicitada; no se descarta sin conocer asignación","Exclusivo de usados confirmado por nombre","RecordType","ACTIVA_COMO_METADATA","Por determinar","No","Retrieve temporal Partial 2026-08-06: flexipages/Opportunity_Record_Page1.flexipage-meta.xml","ALTO","Asignación efectiva pendiente de consulta de activaciones; existencia no equivale a asignación."
"FlexiPage","Opportunity","Opportunity_Record_Page10","SI","NO","SI","Variante nominal solicitada; no se descarta sin conocer asignación","Exclusivo de usados confirmado por nombre","Sin referencia directa identificada","ACTIVA_COMO_METADATA","Por determinar","No","Retrieve temporal Partial 2026-08-06: flexipages/Opportunity_Record_Page10.flexipage-meta.xml","ALTO","Asignación efectiva pendiente de consulta de activaciones; existencia no equivale a asignación."
