"Asignacion_ID","Metadata_Tipo","Objeto","Componente_API","Aplicacion","Perfil","RecordType","FormFactor","Tipo_Asignacion","Asignado","Aplica_PEKING","Exclusivo_Usados","Fuente_Evidencia","Nivel_Confianza","Limitacion","Accion_Potencial","Notas"
"UI-00050","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00051","Layout","Product2","Product2-Product Layout","","Perfil no resuelto","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00052","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00053","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00054","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00055","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00056","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00057","Layout","Opportunity","Opportunity-Autos","","Contract Manager","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00058","Layout","Opportunity","Opportunity-Autos","","Marketing User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00059","Layout","Opportunity","Opportunity-Autos","","Solution Manager","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00060","Layout","Opportunity","Opportunity-Autos","","Read Only","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00061","Layout","Opportunity","Opportunity-Autos","","Standard User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00062","Layout","Opportunity","Opportunity-Autos V1.4","","System Administrator","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00063","Layout","Opportunity","Opportunity-Opportunity Layout","","Guest License User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00064","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00065","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00066","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00067","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00068","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00069","Layout","Opportunity","Opportunity-Motocicletas","","Contract Manager","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00070","Layout","Opportunity","Opportunity-Motocicletas","","Marketing User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00071","Layout","Opportunity","Opportunity-Motocicletas","","Solution Manager","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00072","Layout","Opportunity","Opportunity-Motocicletas","","Read Only","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00073","Layout","Opportunity","Opportunity-Motocicletas","","Standard User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00074","Layout","Opportunity","Opportunity-Autos V1.4","","System Administrator","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00075","Layout","Opportunity","Opportunity-Opportunity Layout","","Guest License User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00076","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00077","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00078","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00079","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00080","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00081","Layout","Opportunity","Opportunity-Autos V1.4","","Contract Manager","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00082","Layout","Opportunity","Opportunity-Autos V1.4","","Marketing User","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00083","Layout","Opportunity","Opportunity-Autos V1.4","","Solution Manager","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00084","Layout","Opportunity","Opportunity-Autos V1.4","","Read Only","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
"UI-00085","Layout","Opportunity","Opportunity-Autos V1.4","","Standard User","Kawasaki","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout, lectura Partial 2026-08-06","ALTO","La relación muestra asignación, no confirma uso efectivo ni acceso del usuario.","Seleccionar para baseline solo si la asignación y aplicabilidad quedan demostradas",""
