ID,tipo,nombre exacto,fuente de alcance,estado en Git,estado en Partial,activo/inactivo,hallazgo,hardcodes,dependencias,clasificación,justificación,corrección propuesta,prueba requerida,evidencia requerida,riesgo de regresión,bloqueo,responsable,prioridad,estado en Producción,versión activa en Producción,evidencia Producción,impacto real por PEKING,acción requerida
F11,Flow,ReciboUsadosFlow,Manual + mensajes Luis,Existe: force-app/main/default/flows/ReciboUsadosFlow.flow-meta.xml,Existe; activa v3,Activo,Usa Empresa__c y Record Types; conserva opciones ERP legacy,RMBAVARIAN/RMOTOBAI; Record Types seleccionables,Recibo_Usado; Account; Asset; Empresa__c; RecordType; Softland,NO APLICA,Luis confirmó que los procesos y componentes exclusivos de vehículos usados no deben soportar PEKING.,Definir si recibo de usados aplica a PEKING y usar lookup/configuración,Recibo para perfiles QA por empresa y tipos de vehículo,Video y recibo creado desde flujo real,Alto,Ninguno; decisión confirmada por Luis.,N/A,N/A,Existe; definición activa ReciboUsadosFlow v3,3,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=ReciboUsadosFlow; ActiveVersion=3; Status=Active",No aplica: proceso exclusivo de vehículos usados; Luis confirmó que PEKING no participa.,No trabajar para PEKING; documentar exclusión y conservar estado productivo.
F12,Flow,Opp_Flow_V5,Manual + mensajes Luis,Existe: force-app/main/default/flows/Opp_Flow_V5.flow-meta.xml,Existe; activa v33; deploy de navegación 0AfAK00000149fF0AQ y consulta posterior 2026-08-12,Activo v33 sobre base funcional v32 validada,Ruta Taller corregida con selector mínimo de Empresa; Empresa_Operadora__c usa selección Taller cuando existe y selección general en las demás rutas; Pricebook continúa resolviéndose por EmpresaPricebookResolver,Secciones legacy de Pricebook nominal desconectadas sin modificar; fallback BMW_Compania__c limitado a Bavarian/Otobai,Opportunity; Pricebook2; Empresa_Operadora__c; BMW_Compania__c; Sucursal__c; Softland; RecordType; EmpresaPricebookResolver,MODIFICAR,QA funcional OK en v33: creación de Opportunity/Quote y navegación al Quote confirmadas,Ejecutadas remediaciones limitadas de Empresa y Cuenta en Taller; navegación estándar al Quote en v33; no retirar nodos legacy ni modificar otras rutas,Completada para PEKING en Taller: Empresa; Cuenta; Opportunity; Quote; Pricebook y navegación; regresión Bavarian/Otobai permanece cubierta por validación estructural,Ejecución v33 GUID 125859e3137ad395a9c6752a73b19ff8e2bdce-4308; Opportunity 006AK00000JT3dzYAD y Quote 0Q0AK000001zL5N0AU persistidos; navegación a PT-00080233 confirmada; deploy v33 0AfAK00000149fF0AQ,Medio,QA FUNCIONAL OK — CREACIÓN + NAVEGACIÓN,QA/Negocio,P0,Existe; definición activa Opp_Flow_V5 v29,29,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opp_Flow_V5; ActiveVersion=29; Status=Active",Impacto técnico corregido en Partial v33; QA funcional completo con PEKING aprobado: creación + navegación,Ninguna acción adicional para Opp_Flow_V5; conservar evidencia y no ampliar el cambio
F13,Flow,Opp_flow_V3,Manual + mensajes Luis,Existe: force-app/main/default/flows/Opp_flow_V3.flow-meta.xml,Existe; activa v30; deploy aislado 0AfAK0000014AWT0A2 y verificación posterior 2026-08-12,Activo,Creación funcional PEKING validada; navegación final legacy remediada con enlace estándar al Quote,Sin IDs o nombres fijos de Pricebook en la ruta ejecutable; legacy limitado a Bavarian/Otobai,Opportunity; Quote; Pricebook2; Empresa__c; EmpresaPricebookResolver; Sucursal; Softland,MODIFICAR,QA de creación OK en v29; v30 conserva la lógica funcional y sustituye únicamente la navegación final defectuosa,Remediación técnica limitada completada; no retirar nodos legacy desconectados en este bloque,Creación PEKING aprobada; validar el enlace integrado en v30 durante la siguiente ejecución funcional normal,"Entrevista 8gZAK000000IgOz2AK; GUID 96010061b22932e5cc1210b9d45c19ff91937fa-5b3d; Opportunity 006AK00000JTVVJYA5; Quote 0Q0AK000001zPyb0AE; dry-run 0AfAK0000014AUr0AM; deploy 0AfAK0000014AWT0A2",Medio,QA CREACIÓN OK — NAVEGACIÓN REMEDIADA EN v30 — QA MANUAL DEL ENLACE PENDIENTE,Negocio/QA,P0,Existe; definición activa Opp_flow_V3 v28,28,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opp_flow_V3; ActiveVersion=28; Status=Active",Sí; creación PEKING validada y navegación remediada en Partial,No repetir solo para evidencia; validar el enlace v30 en la siguiente ejecución funcional normal
F14,Flow,Opp_Flow_v6,Manual + mensajes Luis,Existe: force-app/main/default/flows/Opp_Flow_v6.flow-meta.xml,Existe; activa v82; deploy de navegación 0AfAK0000014Auf0AE y verificación posterior 2026-08-12,Activo v82 sobre base funcional v81 con creación validada,QA creación PEKING OK; navegación final legacy sustituida por enlace estándar dinámico al Quote,Sin nombres o IDs nuevos; fallback legacy limitado a Bavarian/Otobai,Opportunity; Quote; Pricebook2; Empresa_Operadora__c; BMW_Compania__c; Compania__c; Sucursal; Softland; RecordType; EmpresaPricebookResolver,MODIFICAR,Creación funcional v81 aprobada; navegación remediada en v82 y pendiente confirmar el enlace integrado,Remediaciones técnicas limitadas completadas; no retirar nodos legacy desconectados,Creación PEKING completada; validar enlace v82 en la siguiente ejecución normal; después regresión Bavarian/Otobai,"GUID v81 682248cd0259e6fd65a18a1c5219ff95111ad-4896; Opportunity 006AK00000JTWT1YAP; Quote 0Q0AK000001zNQZ0A2; dry-run 0AfAK0000014At30AE; deploy 0AfAK0000014Auf0AE; v82 301AK00000PWE36YAH",Medio,QA CREACIÓN OK — NAVEGACIÓN REMEDIADA — QA MANUAL DEL ENLACE PENDIENTE; Mostrador requiere sesión funcional autorizada,QA/Negocio,P0,Existe; definición activa Opp_Flow_v6 v79,79,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opp_Flow_v6; ActiveVersion=79; Status=Active",Creación PEKING validada y navegación remediada técnicamente en Partial v82,No repetir solo para evidencia; validar el enlace v82 en la siguiente ejecución funcional normal; después cubrir Mostrador con sesión autorizada
F15,Flow,Opportunity_Flow_V2,Manual + mensajes Luis,Existe: force-app/main/default/flows/Opportunity_Flow_V2.flow-meta.xml,Existe; activa v8; deploy 0AfAK0000014BxB0AU y consulta posterior 2026-08-13,Activo,Selectores obligatorios de Empresa en rutas general y mostrador; selección explícita persiste en Opportunity y gobierna Pricebook; creación general/Taller validada con PEKING,Sin IDs o nombres fijos de Pricebook en la ruta ejecutable; $User.Empresa__c no sobrescribe Empresa_Operadora__c,Opportunity; Quote; Pricebook2; Empresa__c; EmpresaPricebookResolver; User.Empresa__c; Sucursal; RecordType,MODIFICAR,QA de creación general/Taller OK; navegación legacy remediada con enlace estándar; falta QA manual del enlace y sesión Mostrador,Ejecutada en Lote 2D1; navegación final remediada en v8 sin modificar lógica funcional,Validar enlace v8 en ejecución funcional normal; después cubrir Mostrador con usuario autorizado,"GUID 31656edfaf899d2705c10b59fc519ff96325cc-61d2; Opportunity 006AK00000JTeqQYAT; Quote 0Q0AK000001zZuj0AE; dry-run 0AfAK0000014BvZ0AU; deploy 0AfAK0000014BxB0AU; v8 301AK00000PWLPYYA5",Medio,QA CREACIÓN OK — NAVEGACIÓN REMEDIADA — QA MANUAL DEL ENLACE PENDIENTE; Mostrador requiere sesión funcional autorizada,Negocio/QA,P0,Existe; definición activa Opportunity_Flow_V2 v6,6,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Opportunity_Flow_V2; ActiveVersion=6; Status=Active",Sí; mitigado técnicamente en Partial,No repetir solo para evidencia; validar enlace v8 en la siguiente ejecución funcional normal; después cubrir Mostrador con sesión autorizada
F16,Flow,CreateWoliFromExpense,Manual + mensajes Luis,Existe: force-app/main/default/flows/CreateWoliFromExpense.flow-meta.xml,Existe; activa v16; dry-run 0AfAK0000014CEw0AM; deploy 0AfAK0000014DKf0AM y consulta post-deploy 2026-08-13,Activo,Product2 SUB autoritativo 01t4U000005sF8FQAU seleccionado con filtros código SUB + tipo Subcontrato + activo; PBE PEKING Local CRC creada y QA real completado,Sin IDs o nombres fijos de Pricebook; selección estructural sin Empresa ni Product2 hardcodeados,EmpresaPricebookResolver; Empresa__c; WorkOrder.empresaFacturaCP__c; Product2.tipoProducto__c; Product2.IsActive; PricebookEntry; CurrencyIsoCode,MODIFICAR,QA funcional PEKING aprobado con exactamente un WOLI correcto y Expense enlazado,Remediación combinada ejecutada: filtro determinista y PBE PEKING Local del producto Subcontrato; variante Mano de Obra preservada,Gasto→WOLI PEKING completado con EXP-1458 una sola vez; regresión estructural Bavarian/Otobai verificada por PBE existentes,"EXP-1458 quedó WoliCreated=true y enlazado a 1WLAK0000000rh34AA; Product2 01t4U000005sF8FQAU; PBE PEKING Local 01uAK000000YUy9YAG; CRC; UnitPrice 1; sin PBE PEKING Dólares",Medio,QA FUNCIONAL OK — PEKING,QA/Negocio,P0,Existe; definición activa CreateWoliFromExpense v14,14,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=CreateWoliFromExpense; ActiveVersion=14; Status=Active",Impacto técnico corregido en Partial v16; producto Subcontrato y configuración PEKING Local validados,Ninguna acción adicional para CreateWoliFromExpense; no repetir EXP-1458
F17,Flow,aperturaCaseWorOrderEvent,Manual + mensajes Luis,Existe: force-app/main/default/flows/aperturaCaseWorOrderEvent.flow-meta.xml,Existe; activa/latest v20; Tooling API Partial 2026-08-04,Activo,Evento Otobai vs ruta Bavarian y Pricebook nominal; selección explícita de Empresa confirmada,Otobai Local; RMBAVARIAN/RMOTOBAI; otobai,Case; WorkOrder; Event; Empresa__c; User.Empresa__c; Sucursal; Pricebook2; RecordType,MODIFICAR,La UX de Empresa está resuelta pero faltan reglas oficiales de agenda/sucursal/servicio para PEKING,Agregar selector Empresa y resolución dinámica; implementar rutas operativas solo con respuesta N4,Caso→WO/Event para 3 empresas; agenda/servicio/sucursal oficiales; estados negativos,Video completo y campos Case/WO/Event,Alto,REQUIERE_NEGOCIO: N4 servicios/agenda/sucursales/territorios; UX resuelta,Negocio,P0,Existe; definición activa aperturaCaseWorOrderEvent v20,20,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=aperturaCaseWorOrderEvent; ActiveVersion=20; Status=Active",Sí: lógica empresarial puede corregirse; operación continúa bloqueada por N4,Sublote 2E después de N4
F18,Flow,ct_newCaseWorkOrderEvent,Manual + mensajes Luis,Existe: force-app/main/default/flows/ct_newCaseWorkOrderEvent.flow-meta.xml,Existe; activa/latest v54; Tooling API Partial 2026-08-04,Activo,Evento con condición Otobai y códigos de empresa; bloqueo depurado en Lote 2.1,otobai; RMOTOBAI/RMBAVARIAN,Case; WorkOrder; Event; territorio; RecordType,MODIFICAR,No existe ruta empresarial configurable,Usar lookup Empresa y configuración por empresa,Nuevo caso/WO/evento para 3 empresas,Video y registros relacionados,Alto,REQUIERE_NEGOCIO: N4 servicios/agenda/sucursales/territorios PEKING,Negocio,P0,Existe; definición activa ct_newCaseWorkOrderEvent v54,54,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=ct_newCaseWorkOrderEvent; ActiveVersion=54; Status=Active",Sí: Evento con condición Otobai y códigos de empresa,Sublote 2E después de respuesta N4
F19,Flow,AgregarManoObra,Manual + mensajes Luis,Existe: force-app/main/default/flows/AgregarManoObra.flow-meta.xml,Existe; activa v2; dataset reconfirmado 2026-08-13,Activo,Pricebook seleccionado mediante resolver desde Empresa del Work Order; productos filtrados por tipo Mano de Obra; recordId es tiposDeTrabajoCaso__c y el Work Order se obtiene por Case,Sin IDs o nombres fijos de Pricebook; no contiene filtro literal SUB,EmpresaPricebookResolver; Empresa__c; WorkOrder.empresaFacturaCP__c; tiposDeTrabajoCaso__c; Product2.tipoProducto__c; PricebookEntry; CurrencyIsoCode,MODIFICAR,Dataset compartido válido e independiente de la duplicidad SUB; bloqueo previo cerrado con QA OK de CreateWoliFromExpense,Ejecutar una sola sesión manual con el recordId preparado; no modificar el Flow,Agregar MO para PEKING; ausencia/desconocida/múltiples/sin Pricebook; crear una sola línea,"Case 00091090; único WorkOrder 00087392 PEKING/CRC/PEKING Local; tiposDeTrabajoCaso a2iAK000001zjndYAA con -Control final; metadata confirma filtro tipoProducto__c=Mano de Obra y ausencia de literal SUB; producto Mano de Obra 01t4U000005w41KQAQ intacto",Medio,LISTO PARA QA MANUAL,Negocio/QA,P0,Existe; definición activa AgregarManoObra v1,1,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=AgregarManoObra; ActiveVersion=1; Status=Active",Sí; dataset PEKING listo y no depende del Product2 Subcontrato,Ejecutar una sola vez /flow/AgregarManoObra?recordId=a2iAK000001zjndYAA y detener ante cualquier fault
F20,Flow,Carga_MO_26_Lavado_a_Caso,Manual + mensajes Luis,Existe: force-app/main/default/flows/Carga_MO_26_Lavado_a_Caso.flow-meta.xml,Existe; sin activa; latest v4,Obsolete,Solo Bavarian; no debe descartarse por inactividad,RMBAVARIAN; nodos con nombre bavarian,Case; WorkOrder; CurrencyIsoCode,NO APLICA,Luis indicó no trabajar Flows inactivos; Producción no tiene versión activa.,Confirmar retiro definitivo o refactor antes de cualquier reactivación,Buscar invocadores; prueba aislada v4 si se conserva,Captura de versiones/dependencias y decisión firmada,Medio,Ninguno; decisión confirmada por Luis.,N/A,N/A,Existe; sin definición activa; latest v4 Obsolete,N/A,"Consulta Tooling API FlowDefinition de solo lectura en RedMotorsProd, 2026-08-04: DeveloperName=Carga_MO_26_Lavado_a_Caso; ActiveVersion=null; Status=sin activa; LatestVersion=4 Obsolete",No aplica: Flow inactivo en Producción; Luis indicó no trabajar Flows inactivos.,No trabajar para PEKING; documentar exclusión y conservar estado productivo.
C01,LWC,rm_vu_inventario,Luis + documento inventario,Existe: force-app/main/default/lwc/rm_vu_inventario,Existe; contenido idéntico,N/A,Opciones de Pricebook vienen de Apex por opportunityId,Sin nombres/Ids fijos de Pricebook,RM_VU_Inventario_Ctrl; Opportunity.Pricebook2Id; Product2; Bodega__c,NO APLICA,Luis confirmó que los procesos y componentes exclusivos de vehículos usados no deben soportar PEKING.,Ninguna; cubrir Apex dependiente,Inventario PEKING CRC/USD; empresa ausente/ambigua,Video; combobox y producto/PricebookEntry,Alto,Ninguno; decisión confirmada por Luis.,N/A,N/A,No consultado; autorización de lectura limitada a Flows,N/A,N/A,No aplica: componente exclusivo de vehículos usados; Luis confirmó que PEKING no participa.,No extender ni probar con PEKING; conservar regresión de usados fuera del alcance PEKING.
C02,LWC,productSearcher,Documento §5/§10 + mensajes Luis,Existe: force-app/main/default/lwc/productSearcher; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Variables preciosBavarian y pbeBavarian; conflicto Git/Partial resuelto,Semántica Bavarian en nombres y resultado Apex,ProductSearcherController; SampleLookupController; Bodega__c; RecordType; EmpresaPricebookResolver Lote 1 desplegado en Partial,MODIFICAR,Contrato y modelo de precio siguen ligados a Bavarian; no se puede validar sin reconciliar org,Reconciliar diff y devolver precio por Empresa/Pricebook seleccionado,Búsqueda por 3 empresas y bodegas; mismo producto en varios Pricebooks,Video y respuesta Apex anonimizada,Alto,Definir fuente de Empresa y Pricebook del buscador,Diego/Negocio,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Variables preciosBavarian y pbeBavarian; desfase Git/Partial,Reconciliar diff y devolver precio por Empresa/Pricebook seleccionado; adoptar resolveForSource en el lote funcional correspondiente
