"Asignacion_ID","Metadata_Tipo","Objeto","Componente_API","Aplicacion","Perfil","Perfil_Referencia","RecordType","FormFactor","Tipo_Asignacion","Asignado","Aplica_PEKING","Exclusivo_Usados","Fuente_Evidencia","Nivel_Confianza","Limitacion","Accion_Potencial","Notas"
"UIV2-00011","Layout","Account","Account-Account Layout","","Guest License User","Guest License User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00012","Layout","Account","Account-Account Layout","","Chatter External User","Chatter External User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00013","Layout","Account","Account-Account Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_005","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00014","Layout","Account","Account-Account Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_003","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00015","Layout","Account","Account-Account Layout","","Chatter Moderator User","Chatter Moderator User","Cuenta empresarial","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00016","Layout","Account","Account-Account Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_005","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00017","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_005","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00018","Layout","Product2","Product2-Product Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_005","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00019","Layout","Account","Account-Account Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_003","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00020","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_003","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00021","Layout","Product2","Product2-Product Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_003","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00022","Layout","Account","Account-Account Layout","","Chatter Free User","Chatter Free User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00023","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","Chatter Free User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00024","Layout","Product2","Product2-Product Layout","","Chatter Free User","Chatter Free User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00025","Layout","Account","Account-Account Layout","","Chatter Moderator User","Chatter Moderator User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00026","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","Chatter Moderator User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00027","Layout","Product2","Product2-Product Layout","","Chatter Moderator User","Chatter Moderator User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00028","Layout","Account","Account-Account Layout","","Chatter External User","Chatter External User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00029","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","Chatter External User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00030","Layout","Product2","Product2-Product Layout","","Chatter External User","Chatter External User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00031","Layout","Account","Account-RM Lider Taller","","System Administrator","System Administrator [PROFILE_REFERENCE_001]","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00032","Layout","Opportunity","Opportunity-Autos V1.4","","System Administrator","System Administrator [PROFILE_REFERENCE_001]","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00033","Layout","Product2","Product2-Product Layout","","System Administrator","System Administrator [PROFILE_REFERENCE_001]","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00034","Layout","Account","Account-BMW Cuenta Empresarial","","Standard User","Standard User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00035","Layout","Opportunity","Opportunity-Opportunity Layout","","Standard User","Standard User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00036","Layout","Product2","Product2-Product Layout","","Standard User","Standard User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00037","Layout","Account","Account-BMW Cuenta Empresarial","","Read Only","Read Only","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00038","Layout","Opportunity","Opportunity-Opportunity Layout","","Read Only","Read Only","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00039","Layout","Product2","Product2-Product Layout","","Read Only","Read Only","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00040","Layout","Account","Account-BMW Cuenta Empresarial","","Solution Manager","Solution Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00041","Layout","Opportunity","Opportunity-Opportunity Layout","","Solution Manager","Solution Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00042","Layout","Product2","Product2-Product Layout","","Solution Manager","Solution Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00043","Layout","Account","Account-BMW Cuenta Empresarial","","Marketing User","Marketing User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00044","Layout","Opportunity","Opportunity-Opportunity Layout","","Marketing User","Marketing User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00045","Layout","Product2","Product2-Product Layout","","Marketing User","Marketing User","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00046","Layout","Account","Account-BMW Cuenta Empresarial","","Contract Manager","Contract Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00047","Layout","Opportunity","Opportunity-Opportunity Layout","","Contract Manager","Contract Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00048","Layout","Product2","Product2-Product Layout","","Contract Manager","Contract Manager","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00049","Layout","Account","Account-Account Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_004","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00050","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_004","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00051","Layout","Product2","Product2-Product Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_004","Master","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00052","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","Chatter External User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00053","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","Chatter Moderator User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00054","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","Chatter Free User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00055","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_005","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00056","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_003","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00057","Layout","Opportunity","Opportunity-Autos","","Contract Manager","Contract Manager","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00058","Layout","Opportunity","Opportunity-Autos","","Marketing User","Marketing User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00059","Layout","Opportunity","Opportunity-Autos","","Solution Manager","Solution Manager","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00060","Layout","Opportunity","Opportunity-Autos","","Read Only","Read Only","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00061","Layout","Opportunity","Opportunity-Autos","","Standard User","Standard User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00062","Layout","Opportunity","Opportunity-Autos V1.4","","System Administrator","System Administrator [PROFILE_REFERENCE_001]","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00063","Layout","Opportunity","Opportunity-Opportunity Layout","","Guest License User","Guest License User","BMW","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00064","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter External User","Chatter External User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00065","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Moderator User","Chatter Moderator User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00066","Layout","Opportunity","Opportunity-Opportunity Layout","","Chatter Free User","Chatter Free User","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00067","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_005","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00068","Layout","Opportunity","Opportunity-Opportunity Layout","","Perfil no resuelto","PROFILE_UNRESOLVED_003","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
"UIV2-00069","Layout","Opportunity","Opportunity-Motocicletas","","Contract Manager","Contract Manager","KTM","","ProfileLayout","SI","Por determinar","No","Tooling API ProfileLayout con ProfileId, lectura Partial 2026-08-06","ALTO","La asignación metadata no demuestra acceso ni uso efectivo.","Seleccionar baseline solo si aplicabilidad y autorización quedan demostradas","ProfileId se usó únicamente para distinguir referencias; no se registra el ID."
