"Objeto","ApprovalProcess_API","Activo","EntryCriteria_Resumen","Referencia_Empresa","Referencia_Marca","Referencia_RecordType","Incluye_PEKING_Actualmente","Tipo_Criterio","Paso","Tipo_Aprobador","Aprobador_Referencia","Dependencia_Role","Dependencia_Profile","Dependencia_Diego","Decision_Negocio_Requerida","Clasificacion","Motivo","Cambio_Potencial","Prueba_Positiva","Prueba_Negativa","Regresion","Evidencia","Notas"
"Opportunity","Opportunity.Aprobacion_descuento_gerente_con_Jefe","Sí","Gerente=True; JefeSucursal y GerenteSucursal informados; Descuento_Total>0; DescuentoAprobado=False","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c -> GerenteSucursal__c","No","No","No","Ninguna para metadata; disponer usuarios relacionados para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y campos User lookup","Ninguno","Oportunidad PEKING recorre ambos pasos","Descuento aprobado o campo vacío no entra","Bavarian y Otobai","Retrieve dirigido de Partial 2026-08-06","Acciones finales/rechazo/recall existentes"
"Opportunity","Opportunity.Aprobacion_descuento_gerente_con_Jefe","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Jefe_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Jefe recibe paso","Jefe vacío selecciona otra variante","Comparar legacy","Metadata Partial","Unanimous"
"Opportunity","Opportunity.Aprobacion_descuento_gerente_con_Jefe","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Gerente_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Gerente recibe paso","Gerente vacío selecciona otra variante","Comparar legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Gerente_sin_Gerente","Sí","Gerente=True; JefeSucursal informado; GerenteSucursal vacío; Descuento_Total>0; DescuentoAprobado=False","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c -> DirectorVentas__c","No","No","No","Ninguna para metadata; disponer usuarios relacionados para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y campos User lookup","Ninguno","Oportunidad PEKING recorre ambos pasos","Gerente informado selecciona otra variante","Bavarian y Otobai","Retrieve dirigido de Partial 2026-08-06","Acciones finales/rechazo/recall existentes"
"Opportunity","Opportunity.Aprobacion_descuento_Gerente_sin_Gerente","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Jefe_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Jefe recibe paso","Jefe vacío impide variante","Comparar legacy","Metadata Partial","Unanimous"
"Opportunity","Opportunity.Aprobacion_descuento_Gerente_sin_Gerente","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Director_de_la_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","DirectorVentas__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Director recibe paso","Director vacío no puede aprobar","Comparar legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Gerente_sin_jefe","Sí","Gerente=True; JefeSucursal vacío; GerenteSucursal informado; Descuento_Total>0; DescuentoAprobado=False","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna para metadata; disponer usuario relacionado para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y campo User lookup","Ninguno","Oportunidad PEKING entra y aprueba","Jefe informado selecciona otra variante","Bavarian y Otobai","Retrieve dirigido de Partial 2026-08-06","Acciones finales/rechazo/recall existentes"
"Opportunity","Opportunity.Aprobacion_descuento_Gerente_sin_jefe","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Gerente_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Gerente recibe paso","Campo vacío impide entrada","Comparar legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Jefe_con_jefe","Sí","Jefe=True; JefeSucursal informado; Descuento_Total>0; DescuentoAprobado=False","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c","No","No","No","Ninguna para metadata; disponer usuario relacionado para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y campo User lookup","Ninguno","Oportunidad PEKING entra y aprueba","JefeSucursal vacío selecciona otra variante","Bavarian y Otobai","Retrieve dirigido de Partial 2026-08-06","Acciones finales/rechazo/recall existentes"
"Opportunity","Opportunity.Aprobacion_descuento_Jefe_con_jefe","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Jefe_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","JefeSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Jefe recibe paso","Campo vacío impide variante","Comparar legacy","Metadata Partial","FirstResponse"
"Opportunity","Opportunity.Aprobacion_descuento_Jefe_sin_Jefe","Sí","Jefe=True; JefeSucursal vacío; Descuento_Total>0; DescuentoAprobado=False","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna para metadata; disponer usuario relacionado para QA","SIN_CAMBIO_REQUIERE_REGRESION","Criterio neutral y campo User lookup","Ninguno","Oportunidad PEKING entra y aprueba","JefeSucursal informado selecciona otra variante","Bavarian y Otobai","Retrieve dirigido de Partial 2026-08-06","Acciones finales/rechazo/recall existentes"
"Opportunity","Opportunity.Aprobacion_descuento_Jefe_sin_Jefe","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Aprobacion_del_Gerente_de_Sucursal","APROBADOR_DINAMICO_Y_REUTILIZABLE","GerenteSucursal__c","No","No","No","Ninguna","SIN_CAMBIO_REQUIERE_REGRESION","Aprobador dinámico","Ninguno","Gerente recibe paso","Campo vacío impide aprobación","Comparar legacy","Metadata Partial","FirstResponse"
"Quote","Quote.CPAprobacionCargoInternoQuote","Sí","CPAprobadorCentroDeCostos__c informado","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","CPAprobadorCentroDeCostos__c","No; submitter genérico roleSubordinatesInternal","No","No","Centro de costo y responsable PEKING oficiales","BLOQUEADO_DATOS_OPERATIVOS","La metadata es neutral, pero faltan registros/referencia oficial PEKING","Ninguno hasta disponer datos","Quote PEKING con centro de costo y aprobador válidos completa aprobación","Aprobador vacío no entra; rechazo restaura estado","Quote legacy; acciones de estado y pulse","Retrieve dirigido de Partial 2026-08-06","Initial: estado en proceso/pulse; final aprobación y rechazo actualizan estado/aprobador"
"Quote","Quote.CPAprobacionCargoInternoQuote","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","CPAprobacionPorCentroDeCostos","APROBADOR_DINAMICO_Y_REUTILIZABLE","CPAprobadorCentroDeCostos__c","No","No","No","Centro de costo y responsable oficial","BLOQUEADO_DATOS_OPERATIVOS","Campo User lookup reutilizable; dato PEKING ausente","Ninguno","Aprobador relacionado recibe solicitud","Campo vacío impide entrada","Comparar Quote legacy","Metadata Partial","FirstResponse"
"WorkOrder","WorkOrder.AprobacionCentroDeCostos","Sí","Aprobador_Centro_de_Costos__c informado","No","No","No","Sí, por neutralidad","CRITERIO_NEUTRAL","RESUMEN","APROBADOR_DINAMICO_Y_REUTILIZABLE","Aprobador_Centro_de_Costos__c","No; submitter genérico roleSubordinatesInternal","No","No","Centro de costo y responsable PEKING oficiales","BLOQUEADO_DATOS_OPERATIVOS","La metadata es neutral, pero faltan registros/referencia oficial PEKING","Ninguno hasta disponer datos","WorkOrder PEKING con centro de costo y aprobador válidos completa aprobación","Aprobador vacío no entra; rechazo ejecuta acciones vigentes","WorkOrder legacy; estados, pulse y control","Retrieve dirigido de Partial 2026-08-06","Initial y finales conservan rutas existentes"
"WorkOrder","WorkOrder.AprobacionCentroDeCostos","Sí","Hereda criterio","No","No","No","Sí","CRITERIO_NEUTRAL","Paso_aprobaci_n_a_aprobador","APROBADOR_DINAMICO_Y_REUTILIZABLE","Aprobador_Centro_de_Costos__c","No","No","No","Centro de costo y responsable oficial","BLOQUEADO_DATOS_OPERATIVOS","Campo User lookup reutilizable; dato PEKING ausente","Ninguno","Aprobador relacionado recibe solicitud","Campo vacío impide entrada","Comparar WorkOrder legacy","Metadata Partial","FirstResponse"
"WorkOrder","WorkOrder.PROCESO_DE_APROB_GARANTIA","Sí","Etapa=Validación de Garantía; tipoDeGasto=Garantía","No","No","No","Indeterminado funcionalmente","CRITERIO_REQUIERE_NEGOCIO","RESUMEN","APROBADOR_NEGOCIO_PENDIENTE","Usuarios fijos omitidos","No","No","No","Cobertura de garantía y aprobador PEKING","BLOQUEADO_APROBADOR_NEGOCIO","Proceso activo con aprobadores User fijos y sin enrutamiento dinámico por Empresa","Sustituir/enrutar solo después de decisión autorizada","WorkOrder PEKING elegible llega al aprobador autorizado y completa acciones","PEKING sin aprobador/configuración no debe enviarse a usuarios legacy","Garantía legacy; aprobación y rechazo","Retrieve dirigido de Partial 2026-08-06","Cuatro submitters y cuatro aprobadores fijos; identidades no documentadas"
"WorkOrder","WorkOrder.PROCESO_DE_APROB_GARANTIA","Sí","Hereda criterio","No","No","No","Indeterminado","CRITERIO_REQUIERE_NEGOCIO","ENVIO_DE_SOLICITUD_DE_APROB_A_APROBADR","APROBADOR_LEGACY_ESPECIFICO","[usuarios fijos omitidos]","No","No","No","Quién aprueba garantía PEKING","BLOQUEADO_APROBADOR_NEGOCIO","Aprobadores User específicos","No proponer sin responsable autorizado","Solicitud llega solo a aprobador PEKING autorizado","No debe caer en usuario legacy por defecto","Comparar garantía legacy","Metadata Partial","FirstResponse"
"WorkOrder","WorkOrder.PROCESO_DE_APROB_GARANTIA_CITA_TALLER","No","Etapa=Validación de Garantía; Tipo_de_servicio=Garantía","No","No","No","No operativo: proceso inactivo","CRITERIO_REQUIERE_NEGOCIO","RESUMEN","APROBADOR_NEGOCIO_PENDIENTE","Usuario fijo omitido","No","No","No","Confirmar si el proceso debe permanecer inactivo y regla de garantía aplicable","BLOQUEADO_REGLA_NEGOCIO","Inactivo; no puede trabajarse ni activarse por inferencia y además usa aprobador fijo","Ninguno sin decisión; no activar","Si se autoriza en el futuro, cita PEKING elegible sigue regla aprobada","El proceso inactivo no debe ejecutarse ni PEKING caer en usuario legacy","Regresión de no activación y ruta legacy vigente","Retrieve dirigido de Partial 2026-08-06","Initial email; acciones finales de estado y alert; identidad omitida"
"WorkOrder","WorkOrder.PROCESO_DE_APROB_GARANTIA_CITA_TALLER","No","Hereda criterio","No","No","No","No operativo","CRITERIO_REQUIERE_NEGOCIO","ENVIO_DE_SOLICITUD_DE_APROB_A_APROBADR","APROBADOR_LEGACY_ESPECIFICO","[usuario fijo omitido]","No","No","No","Regla y responsable de garantía; estado futuro del proceso","BLOQUEADO_REGLA_NEGOCIO","Paso fijo dentro de proceso inactivo","Ninguno","Solo probar si existe autorización futura","No activar ni enrutar PEKING por defecto","Conservar inactividad","Metadata Partial","FirstResponse"
