"Requerimiento_ID","Bloque_Original","Frente","Requerimiento_Original","Fuente","Pagina_Seccion","Estimacion_Original","Asignacion_Original","Categoria_Origen","Metadata_Tipo","Componente","Estado_Git","Estado_Partial","Estado_Activo","Aplica_PEKing","Exclusivo_Usados","Trabajo_Preexistente","Estado_Actual","Accion_Requerida","Clasificacion_Ejecucion","Dependencia","Bloqueo","Responsable_Definicion","Evidencia_Encontrada","Evidencia_Requerida","Nivel_Confianza","Notas"
"S3C-B07-03","7","Layouts","Asegurar campos de Empresa, Marca, Bodega y cantidad en layouts Product2","Fuente actualizada","p.7 y p.10","Parte de ~10 layouts","Sprint 3","SPRINT3_EXPLICITO","Layout","Product2-VehiculosParaV2; Product2-Product Layout V1.1","No versionados","Existen; nombre real Product Layout V1.1 se codifica V1%2E1","Sin estado activo propio","Sí","No","Campos/RT Product2 atendidos en Sprint 1","Requiere validación, no duplicación automática","Validar secciones, campos y asignaciones","SOLO_VALIDACION","Campos Product2 y Record Types","Datos oficiales para QA positivo","QA","Retrieve temporal de ambos layouts","Capturas por RT y diff de campos","ALTO","No agregar valores legacy sin justificación."
"S3C-B07-04","7","FlexiPages","Asignar o crear Record Page para los dos RT nuevos de Opportunity","Fuente actualizada","p.8 y p.10","Parte de ~10 FlexiPages","Sprint 3","SPRINT3_EXPLICITO","FlexiPage","Opportunity_Record_Page_VN","Versionada","Existe; modificada 2026-08-03","Asignación activa no demostrada en este inventario","Sí","No","Sprint 1 agregó Omoda/Jaecoo a visibilidad","Contenido PEKING presente; activación pendiente de evidencia","Validar activación y asignaciones sin recrear página","SOLO_VALIDACION","Opportunity.Omoda/Jaecoo","Asignación por app/perfil pendiente","QA","Git y retrieve temporal contienen Omoda/Jaecoo","Capturas de activación y prueba por RT","ALTO","Existencia no equivale a asignación activa."
"S3C-B07-05","7","FlexiPages","Revisar Quote Record Pages VN/VU y variantes","Fuente actualizada","p.8 y p.10","Parte de ~10 FlexiPages","Sprint 3","SPRINT3_EXPLICITO","FlexiPage","Quote_Record_Page_VN; Quote_Record_Page_VU","No versionadas","Ambas existen","Asignación activa no demostrada","VN por determinar; VU no","VU sí para Quote_Record_Page_VU","Quote y Empresa tuvieron trabajo previo","VN necesita inventario; VU se excluye para PEKING","Inventariar activaciones y dependencias de Opportunity RT","PENDIENTE_INVENTARIO","Modelo Quote por Empresa","Segmentación Quote no confirmada","Negocio / equipo técnico","List metadata y retrieve temporal","Asignaciones, componentes y prueba VN","ALTO","No adaptar la página VU."
"S3C-B07-06","7","FlexiPages","Revisar páginas explícitas de inventario usado","Fuente actualizada","p.7","Incluido en estimación de FlexiPages","Sprint 3","NO_APLICA","FlexiPage/LWC","Estadisticas_Inventario_Usados; Ver_Inventario_Vehiculos_Usados","Bundles versionados en Sprint 2","Páginas y componentes existen","En uso por inventario VU; activación no reevaluada","No","Sí","Luis confirmó que PEKING no aplica a usados","Fuera de adaptación PEKING","Conservar regresión VU, sin modificación","NO_APLICA","Confirmación de Luis","Ninguno","Luis (confirmado)","Retrieve muestra cT_Estadisticas_Inventario_lwc y rm_vu_crear_opp","Prueba de no regresión solo si cambia dependencia compartida","ALTO","No contar como Sprint 3 funcional."
"S3C-B07-07","7","Quick Actions","Duplicar envío de correo de presupuesto","Fuente actualizada","p.8 y p.10","Parte de 5 Quick Actions","Sprint 3","SPRINT3_EXPLICITO","QuickAction","BMW_EnviarCorreoPresupuesto","No versionada","Existe; Visualforce BMW_QuotePDFEmail","No aplica estado activo propio; exposición pendiente","Sí","No","PDF dinámico tuvo trabajo previo","Identidad PEKING no está definida","Inventariar exposición; bloquear variante funcional","BLOQUEADO_NEGOCIO","Plantilla, remitente, logos y datos legales","Faltan datos oficiales","Negocio","Retrieve temporal identifica VisualforcePage","Definición oficial, captura, correo QA y video","ALTO","No inventar identidad."
"S3C-B07-08","7","Quick Actions","Duplicar partidas de presupuesto","Fuente actualizada","p.8 y p.10","Parte de 5 Quick Actions","Sprint 3","SPRINT3_EXPLICITO","QuickAction","Quote.BMW_Duplicar_Partidas_de_Presupuesto","No versionada","Existe; Flow BMW_DuplicaPartidasDePresupuesto","Exposición pendiente","Sí","No","Flow relacionado existe","No se demostró dependencia de Empresa","Recuperar referencias y validar reutilización","PENDIENTE_INVENTARIO","Quote y líneas","Comportamiento PEKING no demostrado","Equipo técnico","Retrieve temporal identifica Flow","Prueba con Quote por Empresa y diff","ALTO","No duplicar solo por prefijo BMW."
"S3C-B07-09","7","Quick Actions","Importar plantilla de Quote","Fuente actualizada","p.8 y p.10","Parte de 5 Quick Actions","Sprint 3","SPRINT3_EXPLICITO","QuickAction","Quote.BMW_ImportarPlantilla","No versionada","Existe; Flow BMW_ImportarPlantilla","Exposición pendiente","Sí","No","Flow fue auditado en Sprint 2","Puede ser reutilizable; faltan plantillas oficiales","Validar acción compartida sin duplicar","SOLO_VALIDACION","Plantillas de presupuesto","QA positivo bloqueado por datos","Negocio / QA","Retrieve temporal y auditoría Sprint 2","Plantilla oficial y video","ALTO","No modificar el Flow en Sprint 3."
"S3C-B07-10","7","Quick Actions","Cambiar moneda de Work Order","Fuente actualizada","p.8 y p.10","Parte de 5 Quick Actions","Sprint 3","SPRINT3_EXPLICITO","QuickAction","WorkOrder.BMW_CambiarMoneda","No versionada","Existe; Visualforce BMW_ChangeCurrency","Exposición pendiente","Sí","No","Work Order tuvo refactor previo","Moneda PEKING no confirmada","Inventariar; no implementar variante","BLOQUEADO_NEGOCIO","Moneda y Pricebooks oficiales","Falta definición comercial","Negocio","Retrieve temporal identifica VisualforcePage","Definición, QA positivo/negativo y video","ALTO","No inventar moneda."
"S3C-B07-11","7","Quick Actions","Importar plantilla de Work Order","Fuente actualizada","p.8 y p.10","Parte de 5 Quick Actions","Sprint 3","SPRINT3_EXPLICITO","QuickAction","WorkOrder.BMW_ImportarPlantilla","No versionada","Existe; Flow BMW_Importar_Plantilla_Orden_de_Trabajo","Exposición pendiente","Sí","No","Work Order tuvo trabajo previo","Depende de catálogos/servicios de taller","Inventariar; bloquear variante funcional","BLOQUEADO_NEGOCIO","Catálogos, servicios y taller","Definiciones postventa pendientes","Negocio","Retrieve temporal identifica Flow","Plantilla oficial, QA y video","ALTO","No modificar Flows bloqueados."
"S3C-B08-01","8","List Views","Crear variantes para nuevos Record Types","Fuente actualizada","p.8 y p.10","8h; ~25 base por variantes","Sin Sprint escrito","PENDIENTE_ASIGNACION_DE_SPRINT","ListView","Opportunity/Lead/Case/Event/Order/WorkOrder","Ocho vistas Opportunity versionadas","Ocho vistas desplegadas; resto no conciliado aquí","N/A","Sí","Vistas VU no aplican","Sprint 1 creó ocho vistas Omoda/Jaecoo","No puede absorberse en Sprint 3","Confirmar Sprint; luego inventariar lista exacta","PENDIENTE_CONFIRMAR_SPRINT","Asignación de Sprint y filtros","La tabla no asigna Sprint","Luis","Fuente actualizada y Bloque 21","Confirmación escrita e inventario nominal","ALTO","La estimación no es cantidad final."
"S3C-B09-01","9","Validation Rules","Revisar reglas de Opportunity relacionadas con descuentos y Bavarian","Fuente actualizada","p.10, tabla consolidada","Parte de ~7 VR","Sprint 3","SPRINT3_EXPLICITO","ValidationRule","5 reglas candidatas de Opportunity","No versionadas","Cinco existen; solo Cambiar_a_Finalizado_Descuento está activa","1 activa / 4 inactivas","Por determinar","No","No hay cambios Sprint 3 documentados","Estimación no identifica reglas objetivo","Analizar fórmulas y aplicabilidad PEKING; no crear siete por conteo","PENDIENTE_INVENTARIO","Reglas de descuento y cuentas","Criterios PEKING no confirmados","Negocio / equipo técnico","Tooling API: cinco reglas y estados","Fórmulas, pruebas y decisión por regla","ALTO","Las inactivas también se revisan."
"S3C-B09-02","9","Validation Rules","Revisar reglas Quote de costo fijo/centro de costo","Fuente actualizada","p.10","Parte de ~7 VR","Sprint 3","SPRINT3_EXPLICITO","ValidationRule","Quote.PresupuestoCostoFijoEmpleado; Quote.CentrodeCostoLlenoCuandoCostoFijo","No versionadas","Ambas existen y están activas","Activas","Por determinar","No","Sin trabajo Sprint 3 demostrado","La relación con Empresa no está probada","Revisar fórmula y campos antes de decidir cambio","PENDIENTE_INVENTARIO","Centro de costo y políticas comerciales","Aplicabilidad PEKING no confirmada","Negocio","Tooling API confirma estado activo","Fórmula y casos QA por Empresa","ALTO","El mensaje de una regla contiene BMW, pero eso no prueba lógica por marca."
"S3C-B09-03","9","Validation Rules","Revisar reglas WorkOrder de centro de costo/aprobador","Fuente actualizada","p.10","Parte de ~7 VR","Sprint 3","SPRINT3_EXPLICITO","ValidationRule","WorkOrder.BMW_Centro_de_Costos_Obligatorio; WorkOrder.reglaaprobacioncentroDeCosto","No versionadas","Ambas existen; primera activa, segunda inactiva","1 activa / 1 inactiva","Por determinar","No","Sin trabajo Sprint 3 demostrado","Depende de centros de costo y aprobación","Bloquear cambio hasta definición; mantener inventario","BLOQUEADO_NEGOCIO","Centro de costo y aprobadores","Reglas PEKING no confirmadas","Negocio","Tooling API confirma estados y mensajes","Fórmulas, responsables y QA","ALTO","No inferir aprobador."
"S3C-B09-04","9","Validation Rules","Revisar regla Product2 de descuento máximo","Fuente actualizada","p.10","Parte de ~7 VR","Sprint 3","SPRINT3_EXPLICITO","ValidationRule","Product2.No_permita_mas_del_descuento_maximo","No versionada","Existe e inactiva; descripción indica objeto equivocado","Inactiva","No demostrado","No","Ninguno","No aplica como adaptación PEKING con evidencia actual","Documentar; no reactivar","NO_APLICA","Ninguna","Ninguno","Equipo técnico","Tooling API y descripción de la regla","Conservar evidencia de inactividad","ALTO","No corregir deuda previa fuera de alcance."
"S3C-B09-05","9","Approval Processes","Revisar ocho aprobaciones de descuento de Opportunity","Fuente actualizada","p.10","Parte de ~6 AP","Sprint 3","SPRINT3_EXPLICITO","ApprovalProcess","Opportunity.Aprobacion_descuento_*","No versionados","Ocho existen y están activos","8 activas","Sí","No","Usan campos relacionados de jefe/gerente/director, no usuarios fijos","Aplicabilidad PEKING requiere criterios de descuento y sucursal","Validar entrada, RT y responsables; no duplicar por conteo","BLOQUEADO_NEGOCIO","Sucursales, responsables y descuentos","Política PEKING no confirmada","Negocio","Retrieve temporal: ocho activos y approvers por relatedUserField","Criterios, pruebas por perfil y aceptación","ALTO","No se detectaron aprobadores fijos en este grupo."
"S3C-B09-06","9","Approval Processes","Revisar aprobación de cargos internos de Quote","Fuente actualizada","p.10","Parte de ~6 AP","Sprint 3","SPRINT3_EXPLICITO","ApprovalProcess","Quote.CPAprobacionCargoInternoQuote","No versionado","Existe y está activo","Activa","Por determinar","No","Approver usa CPAprobadorCentroDeCostos__c","Puede ser reutilizable si el campo se resuelve dinámicamente","Validar por Empresa y centro de costo","SOLO_VALIDACION","Centro de costo oficial","QA positivo pendiente","Negocio / QA","Retrieve temporal muestra relatedUserField","Prueba por Empresa y evidencia de aprobador","ALTO","No crear proceso nuevo sin necesidad."
"S3C-B09-07","9","Approval Processes","Revisar aprobaciones de Work Order y garantía","Fuente actualizada","p.10","Parte de ~6 AP","Sprint 3","SPRINT3_EXPLICITO","ApprovalProcess","WorkOrder.AprobacionCentroDeCostos; PROCESO_DE_APROB_GARANTIA; PROCESO_DE_APROB_GARANTIA_CITA_TALLER","No versionados","Centro de costos y garantía activos; garantía cita inactiva","2 activas / 1 inactiva","Sí","No","Centro de costo usa lookup; garantía activa contiene cuatro usuarios fijos","Bloqueado por garantía y responsables PEKING","No modificar hasta definición; revisar también proceso inactivo","BLOQUEADO_NEGOCIO","Garantía, talleres y aprobadores","Responsables y reglas no confirmados","Negocio","Retrieve temporal y estados active","Definición oficial, reemplazo de fijos si autorizado y QA","ALTO","No copiar nombres de usuarios a documentación oficial."
"S3C-B09-08","9","Roles","Crear roles nuevos cuando la separación lo requiera","Fuente actualizada","p.10","Incluido en 10h del bloque 9","Sprint 3","SPRINT3_EXPLICITO","Role","15 roles actuales de ventas/postventa","No versionados","15 roles recuperados; ninguno nombrado PEKING/Omoda/Jaecoo","N/A","Sí","No","Jerarquía actual separa Autos/Motos, no marcas chinas por nombre","No existe diseño de roles PEKING","Definir jerarquía y mínimo cambio antes de crear roles","BLOQUEADO_NEGOCIO","Seguridad, sucursales y responsables","Roles oficiales no confirmados","Negocio","List metadata y retrieve de 15 roles","Diagrama aprobado y pruebas de acceso","ALTO","No inventar roles."
"S3C-B10-01","10","Profiles/Permission Sets","Ajustar perfiles amplios y crear Permission Sets","Fuente actualizada","p.10, tabla consolidada","NA","NA","NA_EN_DOCUMENTO","Profile/PermissionSet","~40 perfiles y ~10-15 nuevos estimados","Permisos puntuales de Empresa versionados","No inventariado en este bloque","N/A","No asignado","Incluye perfiles VU","Trabajo puntual previo en Sprint 1","No es bloque normal de Sprint 3","No ejecutar ajuste masivo; solo registrar dependencias","NO_APLICA","Otra tarea de simplificación","Asignación explícita NA","Luis / arquitectura","Tabla consolidada marca NA","Autorización separada si se requiere","ALTO","No confundir con permisos mínimos necesarios de un componente."
"S3C-B11-01","11","Custom Metadata","Definir default de Pricebook VN configurable","Fuente actualizada","p.9-11","Parte de 8h","Sprint 3","SPRINT3_EXPLICITO","CustomMetadata","RM_Config.Default_Price_List_VN","No versionado","Existe; Value__c = Bavarian Dólar","Registro sin estado activo","Sí","No","Sprint 2 implementó EmpresaPricebookResolver","El default sigue nombrando Bavarian y la estrategia PEKING no está definida","Confirmar si debe eliminarse, compartirse o parametrizarse","BLOQUEADO_NEGOCIO","Pricebook VN oficial","Decisión comercial pendiente","Negocio","Retrieve temporal del registro","Decisión, metadata propuesta y pruebas de resolver","ALTO","No resolver por nombre fijo."
"S3C-B11-02","11","Custom Metadata","Defaults VU y moneda VU","Fuente actualizada","p.9-11","Parte de 8h","Sprint 3","NO_APLICA","CustomMetadata","RM_Config.Default_Price_List_VU; Default_Price_List_VU_Currency_Code","No versionados","Existen; Bavarian Dólar y USD","Registros sin estado activo","No","Sí","Auditados en Sprint 2","PEKING no aplica a usados","No modificar","NO_APLICA","Confirmación de Luis","Ninguno","Luis (confirmado)","Retrieve temporal","Regresión VU solo si cambia dependencia común","ALTO","Conservar configuración existente."
"S3C-B11-03","11","Custom Metadata","Mappings Lead→Opportunity para Omoda y Jaecoo","Fuente actualizada","p.9-11","Parte de 8h","Sprint 3","SPRINT3_EXPLICITO","CustomMetadata","RM_RecordTypeMapping.Lead_Omoda_to_Opp; Lead_Jaecoo_to_Opp","Ambos versionados","Ambos existen con RM_IsActive__c=true","Activos","Sí","No","Sprint 1 Bloque 20 los creó","Cubierto con evidencia técnica","Validar conversión funcional; no recrear","COMPLETADO_CON_EVIDENCIA","Record Types Lead/Opportunity","QA positivo pendiente","QA","Git y retrieve temporal coinciden semánticamente","Conversión de Lead con datos válidos","ALTO","Es trabajo preexistente, no nuevo."
"S3C-B11-04","11","Integración Softland configurable","Usar configuración de empresa para RMBAVARIAN, RMOTOBAI y RMPEKING","Fuente actualizada + decisión posterior","p.11 y decisión vigente","Parte de 8h","Sprint 3","NOTA_DESACTUALIZADA_O_RESUELTA","CustomObject/configuración","Empresa__c códigos ERP","Objeto/campos versionados","Tres Empresas activas con códigos ERP coincidentes","Activas","Sí","No","EmpresaResolver y dependencias Apex de Sprint 1","La decisión de instancia está resuelta: misma instancia/endpoints, contexto RMPEKING","Validar uso de configuración existente; no crear instancia","SOLO_VALIDACION","Endpoints existentes y configuración administrada","Bodegas/catálogos siguen pendientes","Diego / negocio","Consulta de lectura confirma tres códigos activos","Prueba de integración controlada y trazabilidad sin secretos","ALTO","No documentar endpoints sensibles."
"S3C-B11-05","11","Integración Softland configurable","Inventariar Named Credentials o mecanismo equivalente","Fuente actualizada","p.11","Parte de 8h","Sprint 3","SPRINT3_EXPLICITO","NamedCredential/ExternalCredential/CustomLabel","Configuración de endpoints Softland","No hay Named Credentials Softland versionados","No se encontró Named/External Credential con nombre Softland/RM*","N/A","Sí","No","Apex Sprint 1 usa configuración existente y labels/endpoints","El mecanismo exacto no quedó conciliado en este inventario","Inventariar referencias sin mostrar secretos","BLOQUEADO_TECNICO","Configuración administrada fuera de Git","Fuente autoritativa del endpoint no identificada","Diego","List metadata sin coincidencias y referencias Apex","Mapa de configuración nombre→consumidor, sin valores sensibles","MEDIO","No proponer nueva instancia."
"S3C-B11-06","11","Dependencia Apex Softland","Verificar que la configuración sea consumida por Apex de Sprint 1","Fuente actualizada","p.9, p.11-12","Incluido como dependencia","Sprint 3 solo configuración","SPRINT1_PENDIENTE_DE_VALIDACION","ApexClass","BatchGetBodegaSoftland; BatchGetCatalogoSoftland y servicios relacionados","Versionados","Trabajo previo documentado","N/A","Sí","No","Apex pertenece al bloque 4 de Sprint 1","No se autoriza refactor Apex dentro de Sprint 3","Registrar dependencia y devolver defectos al frente Sprint 1","NO_AUTORIZADO","Configuración Softland y datos oficiales","Catálogo/bodega PEKING pendientes","Diego / equipo técnico","Git muestra soporte parcial y hardcodes legacy aún visibles","Pruebas y matriz por clase en Sprint 1","ALTO","Bloque 11 no absorbe Apex ni batches."
"S3C-B12-01","12","Global Value Sets","Agregar tres GVS de marca","Fuente actualizada","p.9-11","1h; 3 GVS","Sin Sprint escrito","PENDIENTE_ASIGNACION_DE_SPRINT","GlobalValueSet","GVS de marca por identificar","No versionados","41 GVS existen; tres objetivo no identificados aquí","N/A","Sí","No","Valores base de producto tuvieron trabajo Sprint 1","No puede asignarse a Sprint 3 automáticamente","Confirmar Sprint e inventariar nombres exactos","PENDIENTE_CONFIRMAR_SPRINT","Asignación y nombres de GVS","La tabla no asigna Sprint","Luis","Tabla consolidada e inventario global","Confirmación escrita y where-used","ALTO","No agregar PEKING a picklists legacy."
"S3C-B13-01","13","Pricebooks","Crear dos Pricebooks nuevos","Fuente actualizada","p.11","10h conjunto con carga","Sin Sprint escrito","PENDIENTE_ASIGNACION_DE_SPRINT","Pricebook2","Pricebooks PEKING Local/Dólares","Campos/resolver versionados; registros no","Documentación Sprint 2 confirma estructura en Partial","Activos según evidencia Sprint 2","Sí","No","Sprint 2 adelantó configuración técnica","La asignación original de Sprint sigue sin estar escrita","Confirmar Sprint; solo validar estructura","PENDIENTE_CONFIRMAR_SPRINT","Asignación de Sprint y moneda oficial","No debe absorberse en Sprint 3","Luis / negocio","EVIDENCIA_PRICEBOOK_FLOWS_PEKING_20260729.md","Consulta de integridad y confirmación de Sprint","MEDIO","Existencia previa no cambia la asignación original."
"S3C-B13-02","13","PricebookEntry","Poblar Pricebooks con entradas masivas","Fuente actualizada","p.11","Incluido en 10h","Sin Sprint escrito","PENDIENTE_ASIGNACION_DE_SPRINT","PricebookEntry","Entradas oficiales PEKING","Datos no versionados","No se consultaron ni modificaron datos","N/A","Sí","No","Resolver técnico existe","Bloqueado y sin Sprint asignado","Esperar productos, precios y autorización de datos","BLOQUEADO_NEGOCIO","Productos, precios y monedas oficiales","Datos comerciales no entregados","Negocio","Fuente actualizada y restricciones vigentes","Archivo oficial, conteos y plan de reversión","ALTO","No inventar ni cargar datos."
"S3C-B14-01","14","Pruebas E2E y regresión","Validar Opp→Quote→WO→Factura, inventario, aprobaciones y Softland","Fuente actualizada","p.11","10h","Sin Sprint escrito","PENDIENTE_ASIGNACION_DE_SPRINT","Test/Evidencia","E2E y regresión integral","Pruebas técnicas parciales versionadas","Despliegues parciales en Partial","N/A","Sí","VU separado","Sprint 1/2 produjeron pruebas y evidencias parciales","No puede declararse ejecutado ni asignarse a Sprint 3","Confirmar Sprint y preparar casos sin ejecutar como cierre","PENDIENTE_CONFIRMAR_SPRINT","Datos oficiales y cierre Sprint 2","Cinco Flows y datos funcionales pendientes","Luis / negocio / QA","Tabla consolidada y documentación previa","Plan, positivos, negativos, videos y aceptación","ALTO","La QA global sigue siendo necesaria aunque no tenga Sprint escrito."
"S3C-FUN-01","Resultados generales","Ventas","Separación de sucursales, inventario, oportunidades y PDFs","Fuente actualizada","p.13, Ventas","Sin horas propias","Resultado general","RESULTADO_FUNCIONAL_TRANSVERSAL","Criterio funcional","Ventas separadas por Empresa","Componentes distribuidos entre Sprint 1/2/3","Validación integral pendiente","N/A","Sí","No","Hay trabajo previo en Empresa, RT, Flows, bundles y PDF","No es componente automático de Sprint 3","Usar como criterio transversal, no como lote","PENDIENTE_CONFIRMAR_SPRINT","Bodegas, datos legales, permisos y QA","Definiciones oficiales incompletas","Negocio","Notas funcionales finales","Criterios de aceptación y E2E","ALTO","No inventar sucursales o logos."
