Requerimiento_ID,Frente,Requerimiento_Original,Fuente,Pagina_Seccion,Estimacion_Original,Metadata_Tipo,Componente,Estado_Git,Estado_Partial,Trabajo_Preexistente,Estado_Actual,Accion_Requerida,Clasificacion,Dependencia,Bloqueo,Responsable_Definicion,Evidencia_Requerida,Notas
S3-QA-05,Quick Actions,"Duplicar acción de importar plantilla de Work Order para nueva Empresa","Alcance inicial PortalNet",p.8 §6,"5 acciones mencionadas en conjunto",QuickAction,"WorkOrder.BMW_ImportarPlantilla","No versionada","Existe según inventario de lectura","Work Order y Empresa tuvieron trabajo previo","Catálogo, servicios y plantillas de taller PEKING no están definidos","Recuperar acción; documentar dependencia; no implementar variante funcional",BLOQUEADO_NEGOCIO,"Catálogo, servicios y configuración de taller","Definiciones postventa pendientes","Negocio","Metadata; plantilla oficial; QA en taller; video","Relacionado con bloqueos de Sprint 2, pero no incluye modificar esos Flows."
S3-LV-01,List Views,"Crear vistas abiertas, ganadas y perdidas para los dos nuevos Record Types","Alcance inicial PortalNet",p.8 §7,">25 vistas totales mencionadas",ListView,"8 List Views de Opportunity Omoda/Jaecoo","8 vistas versionadas","Existen y fueron desplegadas","Sprint 1 Bloque 21 creó ocho vistas siguiendo el patrón BMW","Cubierto técnicamente","Validar visibilidad, filtros y acceso en Partial",COMPLETADO_PREVIAMENTE,"Opportunity.Omoda/Jaecoo","Ninguno para validación","QA","Metadata Git; evidencia de deploy; capturas de las ocho vistas","No volver a contarlas como trabajo nuevo."
S3-LV-02,List Views,"Revisar vistas de Lead filtradas por Record Type, marca o Empresa","Alcance inicial PortalNet",p.8 §7,">25 vistas totales de varios objetos",ListView,"Lead List Views relacionadas con Omoda/Jaecoo","No versionadas","Existencia específica pendiente de inventario dirigido","Record Types Lead Omoda/Jaecoo y mappings fueron creados","No se identificó lista exacta ni criterio funcional aprobado","Inventariar vistas actuales y comparar con el patrón existente",PENDIENTE_INVENTARIO,"Lead Record Types y modelo de acceso","Criterios de filtros/compartición no enumerados en el alcance","Negocio / equipo técnico","Inventario nominal; filtros; capturas; matriz de acceso","No asumir que todas las vistas BMW requieren copia."
S3-LV-03,List Views,"Revisar vistas de Case, Event, Order y Work Order filtradas por Record Type, marca o Empresa","Alcance inicial PortalNet",p.8 §7,">25 vistas totales de varios objetos",ListView,"Case/Event/Order/WorkOrder List Views","No versionadas","Existencia específica pendiente de inventario dirigido","Empresa base existe en objetos relacionados","Depende de sucursales, territorios, talleres, agenda y postventa","Inventariar sin modificar; agrupar preguntas por decisión compartida",BLOQUEADO_NEGOCIO,"Definiciones postventa y cinco Flows pausados de Sprint 2","Faltan reglas oficiales de separación y acceso","Negocio","Inventario nominal; definición de filtros; QA por perfil y Empresa","No incorporar la implementación de los cinco Flows bloqueados."
S3-SEC-01,Accesos,"Revisar visibilidad de Record Types y permisos de campos en perfiles","Alcance inicial PortalNet",p.8 §8,"35 perfiles mencionados",Profile,"Perfiles con marcas y asignaciones de Record Type","No se versionaron cambios específicos de perfil para este frente","175 perfiles reportados por inventario de lectura","Permission Sets y campos Empresa tuvieron trabajo previo","El alcance menciona 35 pero no lista cuáles; no puede asumirse modificación masiva","Levantar matriz exacta perfil–Record Type–layout y proponer mínimo cambio",PENDIENTE_INVENTARIO,"Modelo de acceso definitivo","Permisos y responsables no confirmados","Luis / negocio","Inventario de 35 perfiles identificados; comparación; pruebas por perfil QA","No usar nombres de usuarios de apoyo en evidencia oficial."
S3-SEC-02,Accesos,"Crear Permission Sets equivalentes para nuevos campos y Record Types","Alcance inicial PortalNet",p.8 §8,"Sin cantidad independiente",PermissionSet,"Empresa_Admin; Vehiculos_Nuevos_PS","Versionados","Existen según inventario de lectura","Sprint 1 replicó permisos de Empresa y Record Types","Cobertura técnica preexistente; falta validación de mínima asignación","Validar permisos efectivos sin asignar usuarios ni cambiar configuración",SOLO_VALIDACION,"Campos y Record Types","Asignaciones definitivas no confirmadas","Negocio / QA","Diff Git–Partial; prueba con perfiles QA; matriz CRUD/FLS","No modificar permisos durante la preparación."
S3-SEC-03,Accesos,"Asegurar separación de acceso por Empresa","Alcance inicial PortalNet",p.9-10 notas y consideraciones,"Sin estimación separada",Sharing/Role/Profile,"Roles, sharing y accesos relacionados","No existe paquete versionado específico","Inventario de roles/acceso pendiente","Filtros por Empresa se atendieron en varios componentes","No hay diseño oficial de seguridad y responsables","Documentar modelo actual y pedir definición; no inferir roles ni reglas",BLOQUEADO_NEGOCIO,"Sucursales, territorios, talleres y responsables","Modelo de acceso definitivo no confirmado","Negocio","Diagrama de acceso aprobado; pruebas positivas y negativas por perfil","La seguridad detallada del v0.13 puede ser ampliación; no se incorpora automáticamente."
S3-CMD-01,Custom Metadata,"Definir lista de precios VN por Empresa mediante RM_Config","Alcance inicial PortalNet",p.9 §9,"Entradas Default Price List VN/VU y Currency Code",CustomMetadata,"RM_Config.Default_Price_List_VN","No versionada","Existe según inventario de lectura","Sprint 2 creó resolución dinámica y asociaciones Empresa–Pricebook","Falta determinar si PEKING usa entrada propia o configuración compartida","Confirmar estrategia y luego versionar el cambio mínimo",BLOQUEADO_NEGOCIO,"Pricebook oficial y configuración comercial","No hay decisión sobre lista VN predeterminada PEKING","Negocio","Registro CMDT recuperado; decisión; prueba EXITO/NO_CONFIGURADO/SELECCION_REQUERIDA","No resolver por nombre fijo."
S3-CMD-02,Custom Metadata,"Definir listas y moneda predeterminadas de vehículos usados","Alcance inicial PortalNet",p.9 §9,"Entradas VU y VU Currency Code",CustomMetadata,"RM_Config.Default_Price_List_VU; Default_Price_List_VU_Currency_Code","No versionadas","Existen según inventario de lectura","Auditadas como dependencias de usados","Exclusivo de vehículos usados","No adaptar a PEKING",NO_APLICA,"Confirmación de Luis","PEKING no aplica a usados","Luis (confirmado)","Referencia documental y no regresión de VU","No eliminar configuración existente."
S3-CMD-03,Custom Metadata,"Crear mappings Lead→Opportunity para los dos nuevos Record Types si aplica","Alcance inicial PortalNet",p.9 §9,"2 nuevas entradas esperadas",CustomMetadata,"RM_RecordTypeMapping.Lead_Omoda_to_Opp; Lead_Jaecoo_to_Opp","Versionados","Existen según inventario de lectura","Sprint 1 Bloque 20 creó y desplegó ambos mappings","Cubierto técnicamente","Validar valores y conversión en Partial",COMPLETADO_PREVIAMENTE,"Record Types Lead y Opportunity","Datos válidos de Lead para QA positivo","QA","Metadata Git; evidencia de deploy; conversión controlada","Mappings VU no se amplían a PEKING."
S3-SFT-01,Softland,"Verificar que BatchGetBodegaSoftland procese la tercera Empresa","Alcance inicial PortalNet",p.9 §9 y p.9 §10,"2 batches mencionados",Apex,"BatchGetBodegaSoftland","Versionado","Existencia confirmada por documentación técnica previa","Empresa y servicios Softland fueron refactorizados en Sprint 1","La verificación funcional requiere configuración oficial","Revisar código y pruebas existentes; ejecutar integración solo con datos oficiales",PARCIALMENTE_CUBIERTO,"Empresa Softland, bodegas y credenciales administradas por Red Motors","Bodegas/configuración PEKING no confirmadas","Diego / negocio","Test Apex; log controlado; evidencia de tercera Empresa; no copiar secretos","No modificar Softland ni inventar bodegas."
S3-SFT-02,Softland,"Verificar que BatchGetCatalogoSoftland procese la tercera Empresa","Alcance inicial PortalNet",p.9 §9,"2 batches mencionados",Apex,"BatchGetCatalogoSoftland","Versionado","Existencia confirmada por documentación técnica previa","Empresa y servicios Softland fueron refactorizados en Sprint 1","La verificación funcional requiere catálogo oficial","Revisar código y pruebas existentes; ejecutar integración solo con datos oficiales",PARCIALMENTE_CUBIERTO,"Empresa Softland y catálogo oficial","Catálogos/productos PEKING no confirmados","Diego / negocio","Test Apex; log controlado; productos oficiales; trazabilidad de errores","No crear productos de prueba por integración."
S3-GVS-01,Global Value Sets,"Agregar nuevos valores de marca/familia donde el modelo vigente lo requiera","Alcance inicial PortalNet",p.9 §10,"Sin cantidad independiente",GlobalValueSet/Picklist,"Marca, familia y valores relacionados de Product2","No hay GVS versionados; campos/Record Types sí","41 GVS en Partial; coincidencia dirigida pendiente","Sprint 1 agregó valores PEKING/OMODA/JAECOO en metadata de producto","Parte base cubierta; falta comprobar GVS realmente consumidos","Inventariar dependencias y validar que no se agregue PEKING a picklists legacy",SOLO_VALIDACION,"Modelo de datos Product2","Ninguno para inventario; marcas oficiales ya confirmadas","Equipo técnico / QA","Referencias where-used; valores en Partial; prueba de Record Types","Evitar duplicar valores o ampliar picklists legacy sin excepción."
S3-PRC-01,Pricebooks,"Crear estructura de Pricebooks para la nueva Empresa sin IDs o nombres fijos","Alcance inicial PortalNet",p.9 §10 y p.10,"Pricebooks y listas independientes",Pricebook2/EmpresaPricebook,"Pricebooks PEKING y asociaciones por Empresa","Metadata de campos/resolver versionada; registros no se versionan aquí","Documentación de Sprint 2 confirma Pricebooks Local/Dólares y asociaciones","Sprint 2 implementó EmpresaPricebookResolver y configuración en Partial","Estructura técnica cubierta; requiere validación de integridad","Validar asociaciones y escenarios negativos; no cambiar registros",COMPLETADO_PREVIAMENTE,"Empresa y moneda configurada","Datos comerciales para QA positivo","QA / negocio","Consultas de lectura; tests del resolver; evidencia NO_CONFIGURADO y selección múltiple","No asumir que nombres actuales son API de resolución."
S3-PRC-02,Pricebooks,"Crear o cargar PricebookEntry para productos de las nuevas marcas","Alcance inicial PortalNet",p.9-10 inventario y listas,"Sin cantidad exacta",PricebookEntry,"Entradas de precio PEKING/OMODA/JAECOO","Datos no versionados","Estado no consultado por restricción de no modificar datos","Resolver técnico ya existe","Faltan productos, precios, monedas y catálogos oficiales","Preparar plantilla y validaciones; cargar únicamente tras entrega y autorización separada",BLOQUEADO_NEGOCIO,"Productos, precios, monedas y catálogos oficiales","Información comercial no entregada","Negocio","Archivo oficial aprobado; conteos antes/después; muestreo; reversión","No crear ni actualizar registros en esta tarea."
S3-INV-01,Inventario,"Configurar Empresa, Marca, familia y bodegas para inventario de vehículos nuevos","Alcance inicial PortalNet",p.9 §10,"5 pasos de inventario",CustomField/RecordType/Bodega,"Product2 y configuración de bodegas","Campos y Record Types versionados; bodegas no","Campos existen; bodegas oficiales pendientes","Sprint 1 cubrió Empresa, Marca y Record Types","Configuración de bodegas no puede cerrarse sin información oficial","Validar metadata cubierta y separar la configuración de datos bloqueada",PARCIALMENTE_CUBIERTO,"Bodegas y Softland","Bodegas oficiales no confirmadas","Negocio / Diego","Metadata de Product2; catálogo de bodegas aprobado; integración E2E","Vehículos usados no se adaptan."
S3-VAL-01,Validation Rules,"Revisar reglas de validación en objetos afectados para evitar combinaciones Empresa/Marca inválidas","Referencia de frente solicitada; alcance inicial exige separación por Empresa","p.9-10 consideraciones; sin regla nominal","No estimada de forma independiente",ValidationRule,"Opportunity, Quote, WorkOrder, Product2 y objetos relacionados","No hay conjunto específico versionado para Sprint 3","383 reglas en Partial; inventario dirigido pendiente","Hay validaciones y resolutores previos de Empresa","El documento inicial no enumera reglas concretas a crear","Inventariar y clasificar impacto; no introducir obligatoriedad/inmutabilidad del v0.13 sin autorización",PENDIENTE_INVENTARIO,"Campos y procesos afectados","Criterios detallados del v0.13 son ampliación","Luis / negocio","Listado nominal; where-used; pruebas positivas/negativas","La auditoría de reglas existentes sí es alcance seguro; nuevas reglas detalladas requieren aprobación."
S3-APR-01,Approval Processes,"Revisar aprobaciones existentes relacionadas con descuento, garantía y costos","Referencia de frente solicitada; alcance inicial contempla postventa y separación","p.9-10 consideraciones; sin proceso nominal","No estimada de forma independiente",ApprovalProcess,"Opportunity, Quote y WorkOrder approval processes","No versionados en este frente","18 procesos existen en Partial; inventario dirigido pendiente","No hay evidencia de adaptación PEKING completada","Reglas, aprobadores y garantías no están definidos","Inventariar estado y dependencias sin activar ni cambiar procesos",BLOQUEADO_NEGOCIO,"Aprobadores, garantía y reglas comerciales","No existen responsables ni umbrales oficiales","Negocio","Listado activo/inactivo; diagrama; pruebas y auditoría de aprobación","Crear aprobador PEKING y notificaciones específicas es ampliación si solo proviene del v0.13."
S3-E2E-01,Pruebas,"Validar venta independiente para las nuevas marcas: inventario, oportunidad y documentos","Alcance inicial PortalNet",p.9-10 pruebas y consideraciones,"2-3 semanas de QA global; no dividir por frente",Test/Evidencia,"E2E ventas PEKING","Documentación técnica y tests parciales versionados","Configuración parcial disponible","Sprint 1 y 2 cubrieron gran parte del recorrido técnico","QA positivo depende de VIN, producto, precio, moneda, identidad y datos oficiales","Preparar casos y ejecutar negativos ahora; positivos cuando existan datos oficiales",PARCIALMENTE_CUBIERTO,"PricebookEntry, productos, datos legales y logos","Faltan datos oficiales","Negocio / QA","Videos; capturas; trazabilidad; resultados Bavarian/Otobai/PEKING","No crear Opportunities por Apex o CLI para evidencia."
S3-E2E-02,Pruebas,"Validar postventa independiente: talleres, calendarios, Work Orders, órdenes, bodega y listas","Alcance inicial PortalNet",p.10 consideraciones,"2-3 semanas de QA global; no dividir por frente",Test/Evidencia,"E2E postventa PEKING","Bloqueos documentados","Configuración parcial; cinco Flows siguen pausados","Dependencias técnicas compartidas fueron atendidas en Sprint 1/2","No ejecutable integralmente por definiciones pendientes","Mantener fuera los cinco Flows; preparar matriz de pruebas y ejecutar solo bloques independientes",BLOQUEADO_NEGOCIO,"Work_Order_from_Quote, Work_Order_from_Quote_Selective, SegregateWOLIs, aperturaCaseWorOrderEvent, ct_newCaseWorkOrderEvent","Bodegas, territorios, talleres, garantía, servicios y agenda pendientes","Negocio","Videos E2E; pruebas por Empresa; errores controlados; evidencia de no cruce","Sprint 2 sigue pausado y no se absorbe en Sprint 3."
S3-E2E-03,Regresión,"Confirmar que Bavarian y Otobai conservan sus procesos mientras PEKING queda aislada","Alcance inicial PortalNet",p.9-10 pruebas de integración y regresión,"Incluida en QA global",Test/Evidencia,"Regresión Empresa","Planes y resultados parciales versionados","Componentes desplegados en Partial","Pruebas Apex y dry-runs previos existen","Falta recorrido funcional completo con perfiles QA y datos oficiales","Definir suite repetible por Empresa y ejecutar antes/después de cada lote",EJECUTABLE,"Datos existentes Bavarian/Otobai; PEKING para positivo","PEKING positivo puede quedar pendiente; negativos sí son ejecutables","QA","Resultados, capturas y videos; comparación antes/después; defectos registrados","Estados no configurados nunca deben caer silenciosamente en otra Empresa."
S3-EXT-01,Ampliación,"Obligatoriedad, inmutabilidad y derivación detallada de Empresa/Marca con auditoría","RQ Integración Peking Eco Drive v0.13 y TD-RQ308","Diferencias validadas: datos y trazabilidad","No pertenece automáticamente a la estimación original",Varios,"Reglas transversales de Empresa y Marca","No evaluado como paquete autorizado","No autorizado automáticamente","El alcance original contempla Empresa, pero no todas estas reglas detalladas","Ampliación separada","Registrar para control de cambios; no incluir en lotes ejecutables",AMPLIACION_NO_AUTORIZADA,"Aprobación de alcance y criterios de aceptación","No existe autorización funcional específica","Luis / Red Motors","Aprobación escrita; criterios; impacto y estimación separados","No confundir con la validación básica de separación del alcance original."
S3-EXT-02,Ampliación,"Seguridad real, aislamiento/reproceso de errores, notificaciones, carga inicial, conciliación, UAT y Go/No-Go formales","RQ Integración Peking Eco Drive v0.13 y TD-RQ308","Diferencias validadas: seguridad, operación y entrega","No pertenece automáticamente a la estimación original",Varios,"Controles y entregables ampliados","No evaluado como paquete autorizado","No autorizado automáticamente","Son detalles adicionales frente a las referencias generales del PDF inicial","Ampliación separada","Mantener en backlog de control de cambios",AMPLIACION_NO_AUTORIZADA,"Aprobación comercial y funcional","Ampliación pendiente de autorización","Luis / Red Motors","Documento de cambio aprobado; aceptación; responsables y evidencia formal","Las pruebas E2E/regresión generales sí permanecen en el alcance original."
S3-EXT-03,Ampliación,"Diferenciar 'trabajos a realizar' por Empresa y ampliar transversalmente productos/catálogos","RQ v0.13, TD-RQ308 y exclusión expresa del alcance inicial","p.10 del alcance inicial indica que trabajos por compañía no se incluyen","Fuera del alcance inicial",Varios,"Trabajos a realizar; módulo de productos y catálogos","No evaluado como alcance autorizado","No autorizado","El PDF inicial identifica expresamente este punto como adicional","Fuera del alcance inicial","No implementar; tramitar como cambio separado",AMPLIACION_NO_AUTORIZADA,"Aprobación y definición funcional","Fuera de alcance original","Luis / Red Motors","Autorización escrita y estimación independiente","No absorberlo por relación técnica con Work Order o Softland."
