"Tipo","API_Name","Objeto","Estado_Git","Estado_Partial","Asignacion_Actual","Referencia_RecordType","Referencia_Profile","Aplica_PEKING","Clasificacion","Motivo","Dependencia","Cambio_Potencial","Regresion_Requerida","Evidencia","Notas"
"QuickAction","Quote.BMW_Duplicar_Partidas_de_Presupuesto","Quote","NO_EXISTE","EXISTE","2 asignaciones demostradas; REFERENCIA_FlexiPage=1, REFERENCIA_PageLayout=1","Pendiente de exposición en layout/página","Sin perfil demostrado","SI_POR_EXPOSICION_GENERICA","SIN_CAMBIO_REQUIERE_REGRESION","La acción está expuesta en Layout y FlexiPage genéricos de Quote y no tiene visibilidad por Empresa/RecordType demostrada.","Layout/FlexiPage de exposición y proceso objetivo","Ninguno; validar exposición y ejecución.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-QA-002; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 2 filas, 2 asignadas","No se modificó la acción ni su Flow/Visualforce. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"QuickAction","Quote.BMW_ImportarPlantilla","Quote","NO_EXISTE","EXISTE","4 asignaciones demostradas; REFERENCIA_FlexiPage=3, REFERENCIA_PageLayout=1","Pendiente de exposición en layout/página","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Layout/FlexiPage de exposición y proceso objetivo","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-QA-003; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 4 filas, 4 asignadas","No se modificó la acción ni su Flow/Visualforce. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"QuickAction","WorkOrder.BMW_CambiarMoneda","WorkOrder","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de exposición en layout/página","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Layout/FlexiPage de exposición y proceso objetivo","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-QA-004; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","No se modificó la acción ni su Flow/Visualforce. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"QuickAction","WorkOrder.BMW_ImportarPlantilla","WorkOrder","NO_EXISTE","EXISTE","2 asignaciones demostradas; REFERENCIA_PageLayout=2","Pendiente de exposición en layout/página","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Layout/FlexiPage de exposición y proceso objetivo","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-QA-005; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 2 filas, 2 asignadas","No se modificó la acción ni su Flow/Visualforce. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv"
"Layout","Account-Account Layout","Account","NO_EXISTE","EXISTE","329 asignaciones demostradas; ProfileLayout=329","Aseguradora, Cliente Jurídico, Cuenta empresarial, Distribuidor, Master, Taller","API Only, API Only Altica, Acceso de MINI - BMW, Actualización Clientes Perfil, Admin Taller, Admin Vh V2, Admin Vh V2 A1, Administrador de Sistema …","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-101; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 329 filas, 329 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 134; no equivalen a decisión funcional PEKING."
"Layout","Account-BMW Cuenta Empresarial - RO","Account","NO_EXISTE","EXISTE","4 asignaciones demostradas; ProfileLayout=4","Cliente Jurídico, Cuenta empresarial, Distribuidor, Taller","Mecanico v2","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-102; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 4 filas, 4 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 1; no equivalen a decisión funcional PEKING."
"Layout","Account-BMW Cuenta Empresarial","Account","NO_EXISTE","EXISTE","579 asignaciones demostradas; ProfileLayout=579","Cliente Jurídico, Cuenta empresarial, Master, Taller","API Only, API Only Altica, Acceso de MINI - BMW, Admin Taller, Admin Vh V2, Admin Vh V2 A1, Administrador de Sistema, Administrador del sistema - Custom …","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-103; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 579 filas, 579 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 145; no equivalen a decisión funcional PEKING."
"Layout","Account-Cuenta Empresarial Sin Botones","Account","NO_EXISTE","EXISTE","6 asignaciones demostradas; ProfileLayout=6","Aseguradora, Cliente Jurídico, Cuenta empresarial, Distribuidor, Master, Taller","Consulta básica móvil","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-104; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 6 filas, 6 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 1; no equivalen a decisión funcional PEKING."
"Layout","Account-RM Asesor Taller","Account","NO_EXISTE","EXISTE","6 asignaciones demostradas; ProfileLayout=6","Aseguradora, Cliente Jurídico, Cuenta empresarial, Distribuidor, Master, Taller","Asesor de Taller","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-105; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 6 filas, 6 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 1; no equivalen a decisión funcional PEKING."
"Layout","Account-RM Asistente Taller - RO","Account","NO_EXISTE","EXISTE","6 asignaciones demostradas; ProfileLayout=6","Aseguradora, Cliente Jurídico, Cuenta empresarial, Distribuidor, Master, Taller","Asistente de Taller","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-106; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 6 filas, 6 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 1; no equivalen a decisión funcional PEKING."
"Layout","Account-RM Asistente Taller","Account","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de matriz de asignaciones","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-107; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa."
"Layout","Account-RM Lider Taller - RO","Account","NO_EXISTE","EXISTE","6 asignaciones demostradas; ProfileLayout=6","Aseguradora, Cliente Jurídico, Cuenta empresarial, Distribuidor, Master, Taller","Mecanico Lider","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-108; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 6 filas, 6 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 1; no equivalen a decisión funcional PEKING."
"Layout","Account-RM Lider Taller","Account","NO_EXISTE","EXISTE","2 asignaciones demostradas; ProfileLayout=2","Master","System Administrator","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-109; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 2 filas, 2 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 1; no equivalen a decisión funcional PEKING."
"Layout","Account-Taller","Account","NO_EXISTE","EXISTE","4 asignaciones demostradas; ProfileLayout=4","Taller","Chatter External User, Chatter Free User, Chatter Moderator User, Identity User","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-110; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 4 filas, 4 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 4; no equivalen a decisión funcional PEKING."
"Layout","Opportunity-Autos V1.2","Opportunity","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de matriz de asignaciones","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-111; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Nombre/ruta previa: Opportunity-Autos V1%2E2; canónico: Opportunity-Autos V1.2."
"Layout","Opportunity-Autos V1.3 - Inventario","Opportunity","NO_EXISTE","EXISTE","6 asignaciones demostradas; ProfileLayout=6; Omoda=1, Jaecoo=1","BMW, Jaecoo, MINI, Master, Omoda, Planes de Venta","Administrador de Sistema","SI","SIN_CAMBIO_REQUIERE_REGRESION","Existen asignaciones ProfileLayout explícitas para Omoda y Jaecoo (1 perfiles por Record Type); no se demuestra adaptación técnica adicional.","Asignación por aplicación/perfil/RecordType","Ninguno; validar visualización y acceso con perfiles QA autorizados.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-112; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 6 filas, 6 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Nombre/ruta previa: Opportunity-Autos V1%2E3 - Inventario; canónico: Opportunity-Autos V1.3 - Inventario."
"Layout","Opportunity-Autos V1.3","Opportunity","NO_EXISTE","EXISTE","287 asignaciones demostradas; ProfileLayout=287; Omoda=36, Jaecoo=36","Autos usados, BMW, Cartera Madura, Harley-Davidson, Jaecoo, KTM, MINI, Master, Motos usados, Omoda, Planes de Venta","Admin Vh V2, Admin Vh V2 A1, Asesor de Ventas BMW y Nuevos V2, Asesor de Ventas BMW y Nuevos V2 A1, Asesor de Ventas Kawa - Polaris y Nuevos V2, Asesor de Ventas Kawa - Polaris y Nuevos V2 A1, Asesor de Ventas MINI, Asesor de Ventas MINI y Nuevos V2 …","SI","SIN_CAMBIO_REQUIERE_REGRESION","Existen asignaciones ProfileLayout explícitas para Omoda y Jaecoo (36 perfiles por Record Type); no se demuestra adaptación técnica adicional.","Asignación por aplicación/perfil/RecordType","Ninguno; validar visualización y acceso con perfiles QA autorizados.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-113; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 287 filas, 287 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Nombre/ruta previa: Opportunity-Autos V1%2E3; canónico: Opportunity-Autos V1.3."
"Layout","Opportunity-Autos V1.4 Sin Botones","Opportunity","NO_EXISTE","EXISTE","17 asignaciones demostradas; ProfileLayout=17; Omoda=1, Jaecoo=1","Autos usados, BMW, Cartera Madura, Harley-Davidson, Indian, Jaecoo, KTM, Kawasaki, MINI, Master, Mostrador, Motorrad, Motos usados, Omoda, Planes de Venta, Polaris, Taller","Consulta básica móvil","SI","SIN_CAMBIO_REQUIERE_REGRESION","Existen asignaciones ProfileLayout explícitas para Omoda y Jaecoo (1 perfiles por Record Type); no se demuestra adaptación técnica adicional.","Asignación por aplicación/perfil/RecordType","Ninguno; validar visualización y acceso con perfiles QA autorizados.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-114; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 17 filas, 17 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Nombre/ruta previa: Opportunity-Autos V1%2E4 Sin Botones; canónico: Opportunity-Autos V1.4 Sin Botones."
"Layout","Opportunity-Autos V1.4","Opportunity","NO_EXISTE","EXISTE","645 asignaciones demostradas; ProfileLayout=645; Omoda=5, Jaecoo=5","Autos usados, BMW, Cartera Madura, Harley-Davidson, Indian, Jaecoo, KTM, Kawasaki, MINI, Master, Motorrad, Motos usados, Omoda, Planes de Venta, Polaris","API Only, API Only Altica, Acceso de MINI - BMW, Admin Taller, Admin Vh V2, Admin Vh V2 A1, Administrador de Sistema, Administrador del sistema - Custom …","SI","SIN_CAMBIO_REQUIERE_REGRESION","Existen asignaciones ProfileLayout explícitas para Omoda y Jaecoo (5 perfiles por Record Type); no se demuestra adaptación técnica adicional.","Asignación por aplicación/perfil/RecordType","Ninguno; validar visualización y acceso con perfiles QA autorizados.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-115; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 645 filas, 645 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Nombre/ruta previa: Opportunity-Autos V1%2E4; canónico: Opportunity-Autos V1.4."
"Layout","Opportunity-Autos","Opportunity","NO_EXISTE","EXISTE","195 asignaciones demostradas; ProfileLayout=195","BMW, MINI","API Only, API Only Altica, Acceso de MINI - BMW, Admin Taller, Altica - Administrador, Altica - Coah de ventas, Altica - Coordinador de credito y cobro, Altica - Ejecutivo de credito y cobro …","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-116; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 195 filas, 195 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa. Perfiles observados: 104; no equivalen a decisión funcional PEKING."
"Layout","Opportunity-Cartera Madura","Opportunity","NO_EXISTE","EXISTE","Sin asignación demostrada","Pendiente de matriz de asignaciones","Sin perfil demostrado","POR_DETERMINAR","BLOQUEADO_ASIGNACION_FUNCIONAL","No existe asignación PEKING inequívoca o hay varias alternativas legacy; la evidencia técnica no permite escoger Layout, página o exposición.","Asignación por aplicación/perfil/RecordType","Definir la asignación funcional exacta antes de proponer cambio.","PEKING cuando aplique; Bavarian/Otobai; usados aislados","S3-0-B7-LAY-117; MATRIZ_ASIGNACIONES_UI_S3_0_V2_20260806.csv: 1 filas, 0 asignadas","Agregado en V2. Referencia matriz anterior: MATRIZ_NOMINAL_S3_0_20260806.csv; no existía como fila nominal previa."
