"id","ruta","tipo","tamano_bytes","tamano_kib","categoria","utilidad_probable","proyecto_subproyecto","clasificacion","justificacion","equivalencia_actual","sensibilidad"
"25","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cKLXOMA4.log","LOG","34090","33.29","LOG","Depuración con señal de error","VN-RQ106 / QA-depuración","REQUIERE_REVISION","Conservar temporalmente para resumen sanitizado; no subir raw","No requiere equivalente en Git","Sí: correo e identificadores"
"26","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cKR7tMAG.log","LOG","283477","276.83","LOG","Depuración con señal de error y callout","VN-RQ106 / QA-depuración","REQUIERE_REVISION","Conservar temporalmente para resumen sanitizado; no subir raw","No requiere equivalente en Git","Sí: correo, identificadores, URLs y términos potencialmente secretos"
"27","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cKya3MAC.log","LOG","359630","351.20","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único; resumir no es necesario","No requiere equivalente en Git","Sí: correo e identificadores"
"28","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cL5AAMA0.log","LOG","5049","4.93","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"29","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cL8nvMAC.log","LOG","70393","68.74","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"30","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLCdtMAG.log","LOG","4446","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"31","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLE6yMAG.log","LOG","4449","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"32","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLF9VMAW.log","LOG","4965","4.85","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"33","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLFFwMAO.log","LOG","1455","1.42","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"34","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLGqLMAW.log","LOG","4216","4.12","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"35","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLH1bMAG.log","LOG","44766","43.72","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"36","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLHrGMAW.log","LOG","0","0.00","LOG","Archivo vacío","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No contiene información","No aplica","No"
"37","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLIgoMAG.log","LOG","4449","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"38","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLJY3MAO.log","LOG","4445","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"39","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLKQtMAO.log","LOG","4448","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"40","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLKvWMAW.log","LOG","4213","4.11","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"41","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLKvXMAW.log","LOG","4445","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"42","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLLoPMAW.log","LOG","4445","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"43","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLNOkMAO.log","LOG","70762","69.10","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"44","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLNeuMAG.log","LOG","80335","78.45","LOG","Depuración con señal de error y callout","VN-RQ106 / QA-depuración","REQUIERE_REVISION","Conservar temporalmente para resumen sanitizado; no subir raw","No requiere equivalente en Git","Sí: correo, identificadores, URLs y términos potencialmente secretos"
"45","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLPDeMAO.log","LOG","4446","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"46","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLPFNMA4.log","LOG","4448","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"47","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLQBLMA4.log","LOG","4960","4.84","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"48","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLQBMMA4.log","LOG","5048","4.93","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"49","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLQEZMA4.log","LOG","4448","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"50","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLRk7MAG.log","LOG","4446","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"51","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLRsAMAW.log","LOG","1405","1.37","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"52","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLRvPMAW.log","LOG","4216","4.12","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"53","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLS6gMAG.log","LOG","4195","4.10","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"54","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLSRfMAO.log","LOG","4449","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"55","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLSRgMAO.log","LOG","4426","4.32","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"56","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLSZiMAO.log","LOG","4449","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"57","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLSZjMAO.log","LOG","43791","42.76","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"58","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLSbJMAW.log","LOG","10986","10.73","LOG","Depuración con señal de error y callout","VN-RQ106 / QA-depuración","REQUIERE_REVISION","Conservar temporalmente para resumen sanitizado; no subir raw","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"59","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLTVnMAO.log","LOG","4446","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"60","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLTcEMAW.log","LOG","5060","4.94","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"61","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVSjMAO.log","LOG","8949","8.74","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"62","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVULMA4.log","LOG","8941","8.73","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
"63","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVm5MAG.log","LOG","4216","4.12","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"64","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVnhMAG.log","LOG","4216","4.12","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"65","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVpJMAW.log","LOG","4449","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"66","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVqvMAG.log","LOG","4448","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"67","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVsXMAW.log","LOG","4446","4.34","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"68","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLVu9MAG.log","LOG","3943","3.85","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo, identificadores y URLs"
"69","tmp/vn_rq106_diego_logs/vn_rq106_diego_07LNq00000cLW0bMAG.log","LOG","4965","4.85","LOG","Depuración histórica sin señal de error","VN-RQ106 / QA-depuración","LOG_DESECHABLE_DESPUES_DE_CONFIRMACION","No aporta error único","No requiere equivalente en Git","Sí: correo e identificadores"
