"id","tipo","ruta","tamano_mib_aprox","respaldo_comprobado","clasificacion","motivo","accion_futura_propuesta","riesgo"
"14","recuperacion","C:\Users\dokur\Documents\Archivos perdidos (65660)","1106","NO_DETERMINADO","REVISAR_MANUALMENTE","Origen y respaldo desconocidos; posible información personal única","Revisión humana por lotes","ALTO"
"15","zip_recuperados","C:\Users\dokur\Documents\Archivos perdidos (65660)\Archivos RAW (3951)\ZIP file (55)","992.38","NO_RESPALDADO","REVISAR_MANUALMENTE","41 de 41 ZIP sin estructura central válida","Decidir si la recuperación previa ya no tiene utilidad","ALTO"
"16","imagenes_recuperadas","C:\Users\dokur\Documents\Archivos perdidos (65660)\Archivos RAW (3951)\JPEG Graphics file (1840)","112.64","NO_DETERMINADO","REVISAR_MANUALMENTE","Puede contener imágenes únicas; ocho pares exactos detectados","Revisión visual humana sin borrar en bloque","ALTO"
"17","evidencias","C:\Users\dokur\Documents\Evidencias\RedMotors\VN-RQ106","856.91","DRIVE_HASH_CONFIRMADO","CONSERVAR_RESPALDO","24 archivos exactos en Drive","Podría retirarse localmente tras aprobación","BAJO"
"18","evidencias","C:\Users\dokur\Documents\Evidencias\RedMotors\Marcas Chinas\Sprint 3","35.97","DRIVE_HASH_CONFIRMADO","CONSERVAR_ACTIVO","Dos videos exactos en Drive; proyecto activo","Mantener hasta cierre de Sprint 4; revisar después","BAJO"
"19","documento","C:\Users\dokur\Downloads\Evidencia_Sprint2_Empresa_Pricebook_Corregido.docx","1.098","DRIVE_HASH_CONFIRMADO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Duplicado exacto en Drive","Borrar solo después de aprobación","BAJO"
"20","auditoria","C:\Users\dokur\Documents\Auditorias-RedMotors-PEKING","5.03","COPIA_LOCAL_ZIP","CONSERVAR_RESPALDO","Resultados de auditorías Etapa 1/2/3 fuera del repositorio","Archivar o respaldar externamente antes de depurar","MEDIO"
"21","zip_respaldo","C:\Users\dokur\Documents\Auditorias-RedMotors-PEKING\Etapa1-Inventario-20260805-193325.zip","0.224","CARPETA_HASH_CONFIRMADO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Contenido exacto a carpeta homónima","Elegir carpeta o ZIP como copia autoritativa","BAJO"
"22","zip_respaldo","C:\Users\dokur\Documents\Auditorias-RedMotors-PEKING\Etapa2-Revision-Clasificacion-20260805-200727.zip","0.260","CARPETA_HASH_CONFIRMADO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Contenido exacto a carpeta homónima","Elegir carpeta o ZIP como copia autoritativa","BAJO"
"23","zip_respaldo","C:\Users\dokur\Documents\Auditorias-RedMotors-PEKING\Etapa3-Consolidacion-Contexto-20260805-205625.zip","0.019","CARPETA_HASH_CONFIRMADO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Contenido exacto a carpeta homónima","Elegir carpeta o ZIP como copia autoritativa","BAJO"
"24","paquete_auditoria","C:\Users\dokur\Documents\RedMotors_PEKING_Etapa1_Auditoria","0.04","ZIP_LOCAL_EXACTO","ARCHIVAR","Paquete de auditoría con respaldo ZIP local","Conservar una copia y respaldarla externamente","MEDIO"
"25","icono","C:\Users\dokur\Pictures\Icon\redmotors_launcher_icon_v8_fixed_complete.ico","0.02","NO_RESPALDADO","CONSERVAR_RESPALDO","Sin copia exacta en repositorios","Copiar a ubicación de respaldo autorizada","MEDIO"
"26","repositorio_comun","C:\Users\dokur\Documents\Repositorios\RedMotorsPartial-Sandbox","91.5","RESPALDADO_PARCIAL","NO_TOCAR","Base común de 20 worktrees; cambio local y stash único","Preservar; revisar stash y modificación antes de reorganizar","CRITICO"
"27","worktree_activo","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint2-Flows-Components","51.9","RESPALDADO_COMPLETO","CONSERVAR_ACTIVO","Entorno autoritativo Empresa/Marcas Chinas; HEAD remoto exacto","Mantener para Sprint 4","CRITICO"
"28","worktree_roto","C:\Users\dokur\Documents\Repositorios\RedMotors-Empresa-Marcas-Chinas","44.1","NO_RESPALDADO","REVISAR_MANUALMENTE","Enlace Git roto; 43 rutas ausentes del activo","Comparar temporales y rescatar lo útil antes de decidir","ALTO"
"29","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Next8-Reconcile","43.2","RESPALDADO_PARCIAL","NO_TOCAR","Contiene documento no rastreado","Respaldar o incorporar el borrador antes de cualquier retiro","ALTO"
"30","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Bloque10-BusquedaDetallada","40.3","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"31","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Hotfix-TestTrafico","40.0","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"32","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Cierre-Luis-Definiciones","43.3","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"33","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Cierre44H","40.3","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"34","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Diego-Definiciones","43.3","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"35","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Integracion","43.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"36","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Next8","40.3","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"37","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Pendientes","40.1","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"38","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-PrecioProducto-Peking","40.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"39","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-ProductJSON-RecordType-Peking","40.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"40","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Reconciliacion33","40.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"41","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Remediacion-Luis-Codex","40.5","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"42","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Trazabilidad","40.2","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"43","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Validacion33","40.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"44","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint2-Cierre-Empresa-Pricebook","43.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"45","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint2-Pricebook-Flows-Peking","40.4","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"46","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint2-Remediacion-Luis-Codex","40.5","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"47","worktree","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint2-RmVuInventario-Param-Fix","40.5","RESPALDADO_COMPLETO","BORRAR_SEGURO_DESPUES_DE_CONFIRMACION","Limpio y HEAD remoto exacto","Retiro controlado de worktree tras aprobación","BAJO"
"48","repositorio","C:\Users\dokur\Documents\Repositorios\Altica-Produccion","5.6","RESPALDADO_PARCIAL","NO_TOCAR","Cambio local en configuración del editor","Resolver cambio local antes de evaluar","ALTO"
"49","repositorio","C:\Users\dokur\Documents\Repositorios\Altica-Sandbox","4.1","RESPALDADO_COMPLETO","CONSERVAR_ACTIVO","Limpio y respaldado; fuera del objetivo RedMotors","Sin acción","MEDIO"
"50","documento_unico","C:\Users\dokur\Documents\Repositorios\RedMotors-Sprint1-Next8-Reconcile\docs\empresa-marcas-chinas\CIERRE_TECNICO_SPRINT1_33_CLASES_3_TRIGGERS_DRAFT.md","0.032","NO_RESPALDADO","CONSERVAR_RESPALDO","Documento no rastreado y potencialmente útil","Respaldar o decidir incorporación","ALTO"
"51","stash_unico","RedMotorsPartial-Sandbox: stash local 2026-06-16","NO_MEDIDO","NO_RESPALDADO","NO_TOCAR","Contiene contexto, DOCX, XLSX, respaldos y registros únicos de VN-RQ106","Inventariar y respaldar de forma autorizada antes de tocar el repositorio","CRITICO"
